ตำบล,ประกอบกิจการ,คนงานรวม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,หมู่,ผู้ประกอบการ,GPSlat,ซอย,ชื่อโรงงาน,ไปรษณีย์,คนงานหญิง,_id,อำเภอ,GPSlong,เงินทุนรวม
บางระกำ,ผลิตปรุงแต่ง และแบ่งบรรจุเคมีการเกษตร สารกำจัดวัชพืช สารกำจัดศัตรูพืช เช่น ยาฆ่าแมลง ยาฆ่าหญ้า เป็นต้น,4,,เลขที่ 118,2,นครปฐม,02-811-4901-2,11,บริษัท เชฟฟาร์ม จำกัด ,,,บริษัท เชฟฟาร์ม จำกัด,73130,2,1412,บางเลน,,13500000
บางระกำ,ผสมปรุงแต่ง และแบ่งบรรจุเคมีการเกษตร สารกำจัดวัชพืช สารกำจัดศัตรูพืช เช่น ยาฆ่าแมลง ยาฆ่าหญ้า เป็นต้น,4,,เลขที่ 111/9,2,นครปฐม,819072065,11,บริษัท โลตัส อโกร ซายส์ จำกัด,13.97003379,,บริษัท โลตัส อโกร ซายส์ จำกัด,73130,2,1413,บางเลน,100.5925364,13500000
บางระกำ,ผลิตปรุงแต่ง และแบ่งบรรจุเคมีการเกษตร สารกำจัดวัชพืช สารกำจัดศัตรูพืช เช่น ยาฆ่าแมลง ยาฆ่าหญ้า เป็นต้น,4,,เลขที่ 117/7,2,นครปฐม,,11,บริษัท ทรี ไลออน โปรเคมี จำกัด,13.936326,,บริษัท ทรี ไลออน โปรเคมี จำกัด,73130,2,1414,บางเลน,100.191483,13500000
บางระกำ,ผลิตปรุงแต่ง และแบ่งบรรจุเคมีการเกษตร สารกำจัดวัชพืช สารกำจัดศัตรูพืช เช่น ยาฆ่าแมลง ยาฆ่าหญ้า เป็นต้น,4,,เลขที่ ,2,นครปฐม,,11,บริษัท ทูพีเอ็ม จำกัด,13.936326,,ปารมี,73130,2,1415,บางเลน,100.191483,13500000
ห้วยหมอนทอง,ผลิตปุ๋ยอินทรีย์ และปุ๋ยอินทรีย์ผสมเคมี,13,,เลขที่ 27/9,7,นครปฐม,,12,บริษัท ไทยไบโอเทค เฟอร์ติไลเซอร์ จำกัด,14.02191667,,บริษัท ไทยใบโอเทค เฟอร์ติไลเซอร์ จำกัด,73140,6,1416,กำแพงแสน,99.90651667,19300000
ทุ่งบัว,ผลิตปุ๋ยเคมี (ที่ไม่มีการใช้แอมโมเนียมไนเตรตและ โพเเทสเซียมคลอเรตมาเป็นวัตถุดิบ),17,จันทรุเบกษา,เลขที่ 169/3,13,นครปฐม,081-9950119,6,บริษัท โกลเด้น เพาเวอร์ เพอมาเน้นท์ จำกัด,,,บริษัท โกลเด้น เพาเวอร์ เพอมาเน้นท์ จำกัด,73140,4,1417,กำแพงแสน,,45000000
คลองโยง,ผลิตและเเบ่งบรรจุสารกำจัดวัชพืช สารป้องกันกำจัดศัตรูพืช และปุ๋ย เช่น ยาฆ่าหญ้า ยาฆ่าแมลง ยาฆ่าเชื้อรา ปุ๋ยเกล็ด และปุ๋ยน้ำ,7,,เลขที่ โฉนดที่ดินเลขที่ 21255 - 21256,5,นครปฐม,092-167-9999,2,บริษัท สิงห์ไทยอินเตอร์ อะโกรเทรด จำกัด,,,บริษัท สิงห์ไทยอินเตอร์ อะโกรเทรด จำกัด,73170,2,1418,พุทธมณฑล,,31000000
บางระกำ,ผสมปรุงแต่ง และแบ่งบรรจุเคมีการเกษตร สารกำจัดวัชพืช สารกำจัดศัตรูพืช เช่น ยาฆ่าแมลง ยาฆ่าหญ้า เป็นต้น,4,,เลขที่ 111/8,2,นครปฐม,24413634,11,บริษัท พี.เอ็น.พี.แอนด์ เบสท์ จำกัด,13.936326,,บริษัท พี.เอ็น.พี.แอนด์ เบสท์ จำกัด,73130,2,1419,บางเลน,100.191483,13500000
ทุ่งกระพังโหม,ผสมปรุงแต่งสารเคมีเกษตรทุกชนิด,30,มาลัยแมน,เลขที่ 135,15,นครปฐม,02-291-5631,5,บริษัท เอ็ล เอ็น อาร์ เอสโซซิเอทส์ จำกัด,13.97637,-,บริษัท เอ็ล เอ็น อาร์ เอสโซซิเอทส์ จำกัด,73140,15,1420,กำแพงแสน,100.00425,24200000
ทุ่งลูกนก,"ผลิต และแบ่งบรรจุสารเคมีการเกษตร อาหารเสริมสำหรับพืช เช่น สารกำจัดแมลง, สารกำจัดวัชพืช, สารป้องกันและกำจัดโรคพืช,ปุ๋ยน้ำ และปุ๋ยเกล็ด",53,จันทรุเบกษา,เลขที่ 59,50,นครปฐม,034-375163,4,บริษัท มิลเลนเนียม ฟาร์ม จำกัด,14.051,,บริษัท มิลเลนเนียม ฟาร์ม จำกัด,73140,3,1421,กำแพงแสน,99.91116667,30000000
คลองโยง,"ผสมและแบ่งบรรจุสารกำจัดศัตรูพืช และฮอร์โมนอาหารเสริมพืช,ผสมและแบ่งบรรจุปุ๋ยเคมี",30,,เลขที่ 77/92,20,นครปฐม,,,บริษัท เอส พี เค จี ไบโอเคม จำกัด,13.80116909,,บริษัท เอส พี เค ซี จำกัด,73170,10,1422,พุทธมณฑล,100.3133493,22515500
ทุ่งลูกนก,ผลิตและแบ่งบรรจุสารกำจัดวัชพืช สารป้องกันโรคพืช สารกำจัดแมลง ปุ๋ย ธาตุอาหารเสริม และฮอร์โมนสำหรับพืช,58,,เลขที่ ,33,นครปฐม,,,บริษัท ฟ๊อกซ์ ฟอร์มูเลท จำกัด,14.07287129,,บริษัท ฟ๊อกซ์ ฟอร์มูเลท จำกัด,73140,25,1423,กำแพงแสน,99.87930575,26300000
คลองโยง,ผลิต ปรุงแต่ง และแบ่งบรรจุสารเคมี เช่น ฮอร์โมนอาหารเสริมพืช ยาฆ่าแมลง ยาฆ่าหญ้า ยาฆ่าเชื้อราทั้งชนิดน้ำและชนิดผง และปุ๋ยเกล็ด,10,,เลขที่ 77/17,10,นครปฐม,,7,บริษัท กู๊ดวิล อะโกร จำกัด,,,บริษัท กู๊ดวิล อะโกร จำกัด,73170,0,1424,พุทธมณฑล,,56682000
ไทรงาม,ผลิตและเเบ่งบรรจุปุ๋ยอินทรี ที่ไม่มรการใช้แอมโมเนียไรเตรท (Ammonium Nitrate) หรือโปรแตสเซียมคลอเรต (Potassium Chlorate) ทำดินปลูก และสารปรับปรุงดิน,19,,เลขที่ 147/1,10,นครปฐม,034-991614-5,7,บริษัท เอสที เฟอร์ทิลิตี้ จำกัด,,,บริษํท เอสที เฟอร์ทิลิตี้ จำกัด,73130,9,1425,บางเลน,,120000000
บางภาษี,ผลิตปุ๋ยอืินทรีย์ ผลิตปุ๋ยอินทรีย์เคมี ปุ๋ยชีวภาพ,17,ลาดหลุมแก้ว-บางเลน,เลขที่ 165,9,นครปฐม,,13,บริษัท กรีนอะโกร พลัส จำกัด,14.01555693,,บริษัท กรีนอะโกร พลัส จำกัด,73130,8,1426,บางเลน,100.217108,0
ไทรงาม,"ผลิตและแบ่งบรรจุสารเคมีการเกษตร เช่น ปุ๋ยน้ำและปุ๋ยเกล็ด อาหารเสริม,สารกำจัดแมลง สารกำจัดวัชพืช และสารกำจัดโรคพืช",38,,เลขที่ ,20,นครปฐม,,,บริษัท แอ็กกี้ เวย์ จำกัด,14.12129795,,บริษัท แอ็กกี้ เวย์ จำกัด,73130,18,1427,บางเลน,100.2013058,15000000
โพรงมะเดื่อ,ผสมและแบ่งบรรจุปุ๋ย ยากำจัดศัตรูพืชและยากำจัดแมลง,22,,เลขที่ ,11,นครปฐม,,,บริษัท เคโมคราฟ จำกัด,,,บริษัท เคโมคราฟ จำกัด,73000,11,1428,เมืองนครปฐม,,35500000
สามควายเผือก,ผลิตและเเบ่งบรรจุ ปุ๋ยเคมี ปุ๋ยอินทรีย์ ปุ๋ยอินทรีย์เคมี และสารปรับปรุงดิน ที่ไม่มีการใช้แอมโมเนียมไนเตรท (Ammonium Nitrate) หรือโปแตสเซียมคลอเรต (Potassium Chlorate),10,,เลขที่ 221,7,นครปฐม,082-6425933,8,บริษัท ราชสีห์เฟอร์ติไลเซอร์ จำกัด,,,บริษัท ราชสีห์เฟอร์ติไลเซอร์ จำกัด,73000,3,1429,เมืองนครปฐม,,19580000
บางระกำ,"ปั้นเม็ดปุ๋ยชีวภาพ,ปั้นเม็ดปุ๋ยอินทรีย์",31,-,เลขที่ 109/6,23,นครปฐม,034-206411-12,1,บริษัท อัลโกเทค จำกัด,13.76546667,-,บริษัท ปฐมรรค จำกัด,73120,8,1430,นครชัยศรี,100.1329667,10600000
นราภิรมย์,ผลิตอาหารเสริมสำหรับพืช,36,,เลขที่ ,13,นครปฐม,,,บริษัท เคจีที อะกริเทค จำกัด,,,บริษัท เคจีที อะกริเทค จำกัด,73130,23,1431,บางเลน,,11533000
บัวปากท่า,ผลิตปุ๋ยเกล็ดและปุ๋ยน้ำ,20,,"เลขที่ 144,144/1",10,นครปฐม,081-6230427,1,บริษัท แนส อโกร จำกัด,14.17504001,,บริษัท แนส อโกร จำกัด,73130,10,1432,บางเลน,100.1967729,50000000
บางภาษี,ผลิตและแบ่งบรรจุ สารป้องกันจำกัดศัตรูพืช ปุ๋ย ธาตุอาหารรอง ธาตุอาหารเสริม ฮอร์โมน และสารเสริมประสิทธิภาพพืช,10,บางเลน-ลาดหลุมแก้ว,เลขที่ 555/10,6,นครปฐม,,13,บริษัท แบ็ทเทอร์ อโกรเคมีคัล จำกัด,14.0139679,,บริษัท แบ็ทเทอร์ อโกรเคมีคัล จำกัด,10520,4,1433,บางเลน,100.2396909,20000000
คลองโยง,ผลิตปุ๋ยอินทรีย์ชีวภาพ และสารป้องกันกำจัดศัตรูพืชหรือสัตว์ สารสกัดสมุนไพรใช้ในการย่อยสลายทางพืช สัตว์ และสิ่งแวดล้อม,18,,เลขที่ 8/9,12,นครปฐม,,1,บริษัท บีซีเอส 789 จำกัด,13.83465241,,บริษัท บีซีเอส 789 จำกัด,10900,6,1434,พุทธมณฑล,100.2939017,10000000
บางภาษี,ผลิตและแบ่งบรรจุ สารป้องกันกำจัดศัครูพืช ปุ๋ย ธาตุอาหารรอง ธาตุอาหารเสริม ฮอร์โมน และสารเสริมประสิทธิภาพพืช,10,บางเลน-ลาดหลุมแก้ว,เลขที่ 567/895,6,นครปฐม,,13,บริษัท เมก้า คิว อินเตอร์เทรด จำกัด,14.01046403,,บริษัท เมก้า คิว อินเตอร์เทรด จำกัด,11140,4,1435,บางเลน,100.2474012,20000000
บางภาษี,ปุ๋ยน้ำ,16,,เลขที่ 555/168,11,นครปฐม,,12,บริษัท นิว-ทริชั่น อินเตอร์เนชั่นแนล,14.03948855,,บริษัท นิว-ทริชั่น อินเตอร์เนชั่นแนล,10310,5,1436,บางเลน,100.2632534,64000000
บางภาษี,ผสมและแบ่งบรรจุผลิตภัณฑ์เคมีทางการเกษตร สารกำจัดวัชพืช,12,บางเลน-ลาดหลุมแก้ว,เลขที่ ,6,นครปฐม,,13,บริษัท ธันย์สตาร์ 2557 จำกัด ,,,บริษัท ธันย์สตาร์ 2557 จำกัด,10230,6,1437,บางเลน,,21000000
ทุ่งลูกนก,ผสมปุ๋ยและแบ่งบรรจุปุ๋ยเคมี ปุ๋ยอินทรีย์ชีวภาพ,10,,เลขที่ 50,6,นครปฐม,,4,นายจงกรม  ศรีพงษ์พันธุ์กุล,,,บริษัท ลิบรา ครอปไซเอนซ์ จำกัด ,73140,4,1438,กำแพงแสน,,33000000
บางภาษี,ผสมและแบ่งบรรจุภัณฑ์เคมีทางการเกษตร สารกำจัดวัชพืช,12,บางเลน-ลาดหลุมแก้ว,เลขที่ 567/9,6,นครปฐม,,13,บริษัท ไทยออน เคมีภัณฑ์ จำกัด,,,บริษัท ไทยออน เคมีภัณฑ์ จำกัด,10120,6,1439,บางเลน,,21000000
ทุ่งลูกนก,ผลิตปุ๋ยอินทรีย์ และทำอาหารผสมหรืออาหารสำเร็จสำหรับเลี้ยงสัตว์ และนำกากตะกอนชีวภาพจากอุตสาหกรรมเยื่อและกระดาษ กากตะกอนชีวกาพจากอุตสาหกรรมอาหารและเกษตรแปรรูป มาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่โดยผ่านกรรมวิธีการผลิตทางอุตสาหกรรม,3,,เลขที่ โฉนดที่ดินเลขที่ 3315,0,นครปฐม,,4,บริษัท สมบูรณ์ผลการเกษตร จำกัด,14.05261103,,บริษัท สมบูรณ์ผลการเกษตร จำกัด,73140,3,1440,กำแพงแสน,99.92397083,5040000
สระสี่มุม,ผลิตปุ๋ยอินทรีย์อัดเม็ด ปุ๋ยอินทรีย์เคมี และปุ๋ยเคมีนทรีย์เคมี,8,มาลัยแมน,เลขที่ 89,8,นครปฐม,,21,บริษัท เดอะ เซ็นทรัล เคมิคัลส์ จำกัด,14.05126,,บริษัท เดอะ เซ็นทรัล เคมิคัลส์ จำกัด,73140,0,1441,กำแพงแสน,100.02366,7000000
ลานตากฟ้า,ผสมและแบ่งบรรจุสารป้องกันกำจัดศัตรูพืชและสารกำจัดวัชพืช,12,,เลขที่ 19/5,3,นครปฐม,,5,บริษัท แม็กซิมัส อินเตอร์เทรด จำกัด,13.81078255,,บริษัท แม็กซิมัส อินเตอร์เทรด จำกัด,73120,9,1442,นครชัยศรี,100.1966,35000000
ทุ่งลูกนก,ผลิตและแบ่งบรรจุปุ๋ยเคมี,3,,เลขที่ 38/1,3,นครปฐม,032-231572,4,บริษัท ซีพีเอ็ม การเกษตร จำกัด,14.04352,,บริษัท ซีพีเอ็ม อกรีคัลเจอร์ จำกัด,73140,0,1443,กำแพงแสน,99.873176,50800000
ลานตากฟ้า,ผสมและแบ่งบรรจุสารป้องกันกำจัดศัตรูพืชและสารกำจัดวัชพืช,12,ลานตากฟ้า-ดาวทอง,เลขที่ 19/4,3,นครปฐม,,5,บริษัท สปิริต อะโกร จำกัด,13.81842201,,บริษัท สปิริต อะโกร จำกัด,73120,9,1444,นครชัยศรี,100.2290144,51000000
ห้วยขวาง,ผลิตปุ๋ยอินทรีย์ และปุ๋ยเคมี,32,,เลขที่ 111,30,นครปฐม,081-9111072,5,บริษัท เกษตรทิพย์ เฟอร์ทิไลเซอร์ จำกัด,13.94738333,,บริษัท เกษตรทิพย์ เฟอร์ทิไลเซอร์ จำกัด,73140,2,1445,กำแพงแสน,99.9771,175485611
ทุ่งลูกนก,ผลิตและแบ่งบรรจุสารเคมีเกษตร อาหารเสริมสำหรับพืช เช่น สารกำจัดแมลง สารกำจัดวัชพืช สารป้องกันและกำจัดโรคพืช ปุ๋ยน้ำ และปุ๋ยเกล็ด,55,,เลขที่ 59/2,40,นครปฐม,,4,บริษัท นาโนโกลด์ จำกัด,,,บริษัท นาโน โกลด์ จำกัด,73140,15,1446,กำแพงแสน,,13000000
ทุ่งลูกนก,ผลิตและแบ่งบรรจุสารเคมีเกษตร อาหารเสริมสำหรับพืช เช่น สารกำจัดแมลง สารกำจัดวัชพืช สารป้องกันและกำจัดโรคพืช ปุ๋ยน้ำ และปุ๋ยเกล็ด,55,จันทรุเบกษา,เลขที่ 59/3,50,นครปฐม,29313065,4,บริษัท นาโน คร็อพ จำกัด,,,บริษัท นาโน คร็อพ จำกัด,73140,5,1447,กำแพงแสน,,13000000
บางระกำ,ผลิตอาหารเสริมสำหรับพืช ผสมและแบ่งบรรจุปุ๋ยเคมีชนิดน้ำและชนิดผง ที่ไม่มีการใช้แอมโมเนียไนเตรด หรือ โปแตสเซียมคลอเรต,13,-,เลขที่ 99/3,7,นครปฐม,,5,บริษัท โอเอซิส อะโกรซายน์ จำกัด,,-,บริษัท โอเอซิส อะโกรซายน์ จำกัด,73130,6,1448,บางเลน,,292400000
สระกะเทียม,ผสมวัตถุดิบผลิตปุ๋ยชีวภาพ,3,-,เลขที่ 118,3,นครปฐม,,2,ห้างหุ้นส่วนจำกัด เกษตรสินชีวภาพ,13.79615,-,ห้างหุ้นส่วนจำกัด เกษตรสินชีวภาพ,73000,0,1449,เมืองนครปฐม,99.95965,6710000
คลองโยง,ผลิต ผสมและบรรจุสารเคมี เช่น ฮอร์โมน อาหารเสริมพืช ยาฆ่าหญ้า ยาฆ่าแมลง ยาฆ่าเชื้อราทั้งชนิดน้ำและชนิดผง ผสมปุ๋ยชนิดเกล็ดและปุ๋ยชนิดน้ำ,20,,เลขที่ ,10,นครปฐม,,,บริษัท แดชอะโกร จำกัด,,,บริษัท แดชอะโกร จำกัด,73170,10,1450,พุทธมณฑล,,16000000
ห้วยด้วน,ผลิตหรือทำสารปรับปรุงดิน,6,,"เลขที่ โฉนดที่ดินเลขที่ 14250 , 15665",6,นครปฐม,087-9754709,,นางวิภา  สวดมาลัย,,,-,73150,0,1451,ดอนตูม,,4200000
ทุ่งลูกนก,ผลิตและแบ่งบรรจุสารเคมีเกษตร อาหารเสริมสำหรับพืช เช่น สารกำจัดแมลง สารกำจัดวัชพืช สารป้องกันและกำจัดโรคพืช ปุ๋ยน้ำ และปุ๋ยเกล็ด,56,,เลขที่ 59/1,54,นครปฐม,29313065,4,บริษัท เอิร์ทฟิลด์ จำกัด,14.059672,,บริษัท เอิร์ทฟิลด์ จำกัด,73140,2,1452,กำแพงแสน,99.89303128,23000000
บางระกำ,ผลิตอาหารเสริมสำหรับพืช ผสมและแบ่งบรรจุปุ๋ยเคมีชนิดน้ำและชนิดผง ที่ไม่มีการใช้แอมโมเนียไนเตรต (Ammonium Nitrate) หรือโปแตสเซียมคลอเรต (Potassium Chlorate) ,16,-,เลขที่ 99/3,10,นครปฐม,,5,บริษัท ฟิวเจอร์ ฟาร์ม จำกัด,,-,บริษัท ฟิวเจอร์ ฟาร์ม จำกัด,73130,6,1453,บางเลน,,325376000
ทุ่งกระพังโหม,"แบ่งบรรจุเคมีเกษตร เป็น แบ่งบรรจุเคมีเกษตร ยาปราบศัตรูพืชและปุ๋ย"" โดยใช้อุปกรณ์และเครื่องจักรเดิม""",,มาลัยแมน,เลขที่ 141,42,นครปฐม,1673400,5,บริษัท เจดับบลิว คอมเมอร์เชียล ซัพพลายส์ จำกัด,,,บริษัท เจดับบลิว คอมเมอร์เชียล ซัพพลายส์ จำกัด,73140,,1454,กำแพงแสน,,500000
พระประโทน,ผลิตและแบ่งบรรจุปุ๋ยอินทรีย์,15,,เลขที่ 165/5,10,นครปฐม,084-5900985,3,ห้างหุ้นส่วนสามัญ โรงปุ๋ยพลังแผ่นดิน,13.79947429,,ห้างหุ้นส่วนสามัญ โรงปุ๋ยพลังแผ่นดิน,73000,5,1455,เมืองนครปฐม,100.0942924,8000000
หินมูล,ผลิตปุ๋ยอินทรีย์ ปุ๋ยเคมี และปุ๋ยอินทรีย์ผสมเคมี,10,บางเลน-บางหลวง,เลขที่ ,5,นครปฐม,,,บริษัท อภิพล ไพศาล จำกัด,14.09839264,,บริษัท อภิพล ไพศาล จำกัด,73190,5,1456,บางเลน,100.1381462,23000000
ทุ่งกระพังโหม,"แบ่งบรรจุสารเคมีเกษตร เป็นแบ่งบรรจุเคมีเกษตร,ผสม,ปรุงแต่งสารเคมีเกษตรทุกชนิด,ยาปราบศัตรูพืชและปุ๋ย โดยใช้อุปกรณ์และเครื่องจักรเดิม",13,มาลัยแมน,เลขที่ 142,6,นครปฐม,22915631,5,บริษัท ยูนิเวอร์แซล แอ็คฟอร์ม จำกัด,13.99573696,วัดจันทร์ใน,บริษัท ยูนิเวอร์แซล แอ็คฟอร์ม จำกัด,73140,7,1457,กำแพงแสน,99.99817976,12622430
คลองโยง,การทำปุ๋ย หรือสารป้องกันหรือกำจัดศัตรูพืชหรือสัตว์,17,เลียบคลองตาจง,เลขที่ 85/1,13,นครปฐม,02-88997373,3,บริษัท โกลด์แพลนเน็ท จำกัด,,,บริษัท โกลด์แพลนเน็ท จำกัด,10170,4,1458,พุทธมณฑล,,22500000
พะเนียด,ผลิตและแบ่งบรรจุเคมีทางการเกษตร เช่น ปุ๋ย สารบำรุงพืช ฮอร์โมน อาหารเสริมพืช สารกำจัดศัตรูพืช วัชพืช แมลง โรคพืช เมล็ดพันธุ์,13,,เลขที่ 8/8,13,นครปฐม,,1,บริษัท มาสเตอร์ อโกรเทค จำกัด,13.79605,,บริษัท มาสเตอร์ อโกรเทค จำกัด,73120,0,1459,นครชัยศรี,100.1414,18000000
ห้วยขวาง,ผลิตอาหารเสริมสำหรับพืช ผสมและแบ่งบรรจุปุ๋ยเคมีชนิดน้ำและชนิดผงที่ไม่มีการใช้แอมโมเนียไนเตรต (Ammonium Nitrate) หรือโปแตสเซียมคลอเรต (Potassium Chlorate),12,-,เลขที่ 188,8,นครปฐม,082-8982965,3,บริษัท ไทย เซ็นจูรี่ เคมิคัลส์ จำกัด,,-,บริษัท ไทย เซ็นจูรี่ เคมิคัลส์ จำกัด,73140,4,1460,กำแพงแสน,,6500000
คลองนกกระทุง,"ผลิตปุ๋ยอินทรีย์ชนิดเม็ด, ปุ๋ยเคมีชนิดเม็ดและชนิดน้ำ",10,,เลขที่ 8,6,นครปฐม,,10,บริษัท สยามเฟอร์ติไลเซอร์ จำกัด,13.97839109,,บริษัท สยามเฟอร์ติไลเซอร์ จำกัด,73130,4,1461,บางเลน,100.1983513,7500000
บางภาษี,ผลิต ปรุงแต่ง และแบ่งบรรจุสารเคมี เช่น ฮอร์โมน อาหารเสริมพืช ยาฆ่าหญ้า สารป้องกันกำจัดโรคพืช ยาฆ่าแมลง ชนิดน้ำและผง ปุ๋ยเกล็ด อินทรีย์ ชีวภาพ,53,-,เลขที่ 511,49,นครปฐม,,13,บริษัท อีวัน อโกรเทค จำกัด,14.01221319,-,บริษัท อีวัน อโกรเทค จำกัด,73130,4,1462,บางเลน,100.2462852,9200000
งิ้วราย,"ผสม-แบ่งบรรจุปุ๋ยเคมี ผลิตและแบ่งบรรจุสารป้องกันกำจัดศัตรูพืช, ผลิตภัณฑ์เคมีเกษตร",8,ศาลายา-นครชัยศรี,เลขที่ 108/10,4,นครปฐม,,4,บริษัท วินเทค อะโกร จำกัด,,,บริษัท วินเทค อะโกร จำกัด,73120,4,1463,นครชัยศรี,,9900000
ทุ่งลูกนก,"ผลิตปุ๋ยอินทรีย์ชีวภาพ, ปุ๋ยอินทรีย์ผสมเคมี และปุ๋ยเคมีโดยไม่ใช้กระบวนการทางเคมี",32,-,เลขที่ 130,21,นครปฐม,034-359909,4,บริษัท กำแพงแสน อโกรเทค จำกัด,14.06276667,-,บริษัท กำแพงแสน อโกรเทค จำกัด,73140,11,1464,กำแพงแสน,99.89085,12000000
ทุ่งบัว,ผลิตปุ๋ยอินทรีย์ ปุ๋ยเคมีปุ๋นอินทรีย์ผสมเคมี และแบ่งบรรจุปุ๋ย,31,,เลขที่ -,21,นครปฐม,,6,บริษัท ไอออนิค จำกัด,14.04149,,บริษัท ไอออนิค จำกัด,73140,10,1465,กำแพงแสน,99.941649,30000000
ทุ่งลูกนก,ผลิตและแบ่งบรรจุเคมีทางการเกษตร เช่น ปุ๋ย สารบำรุงพืช สารกำจัดศัตรูพืช สารกำจัดแมลง สารป้องกันและกำจัดโรคพืชและเมล็ดพันธุ์,31,จันทรุเบกษา,เลขที่ 55,14,นครปฐม,,4,บริษัท มังกรเจ็ดน้ำ จำกัด,,,บริษัท มังกรเจ็ดน้ำ จำกัด,73140,17,1466,กำแพงแสน,,24700000
คลองโยง,ผลิตปุ๋ยชนิดน้ำ ชนิดเกล็ดและผง,6,,เลขที่ 33/6,3,นครปฐม,081-5589112,3,บริษัท ทรู อะโกร ไซเอนซ์ จำกัด,14.10932372,,บริษัท ทรู อะกริเทค จำกัด,73170,3,1467,พุทธมณฑล,100.1524864,6400000
ดอนข่อย,ผลิตและแบ่งบรรจุปุ๋ยและสารป้องกันกำจัดศัตรูพืชและสัตว์,54,,เลขที่ 222,12,นครปฐม,29279435,14,บริษัท ฟอร์มูล่าร์-เอ จำกัด,14.02977477,,บริษัท ฟอร์มูล่าร์-เอ จำกัด ,73140,42,1468,กำแพงแสน,100.0202083,60000000
สระสี่มุม,ผลิตปุ๋ย หรือสารป้องกัน หรือกำจัดศัตรูพืชและสัตว์,20,,เลขที่ 59,8,นครปฐม,,2,บริษัท กำแพงแสน ไบโอเทค จำกัด,14.05275,,บริษัท กำแพงแสน ไบโอเทค จำกัด,73140,12,1469,กำแพงแสน,100.0183833,1000000
ทุ่งลูกนก,ผลิตปุ๋ยอินทรีย์ชนิดเม็ด,20,กำแพงแสน-พระแท่นดงรัง,เลขที่ 179,18,นครปฐม,21986074,4,บริษัท ลี้เส็งฮวด อินเตอร์เทรด จำกัด,14.04593487,,บริษัท ลี้เส็งฮวด อินเตอร์เทรด จำกัด,73140,2,1470,กำแพงแสน,99.92150291,10000000
คลองโยง,ผสมและบรรจุเคมีการเกษตรเช่น ยาฆ่าแมลง ยาฆ่าหญ้า ปุ๋ยน้ำ,10,,เลขที่ 77/90,10,นครปฐม,,7,บริษัท แพลนติ้ง เคมส์ จำกัด,13.8849,,บริษัท แพลนติ้ง เคมส์ จำกัด,73170,0,1471,พุทธมณฑล,100.27732,14664000
สนามจันทร์,ผลิตและแบ่งบรรจุสารเคมีกำจัดศัตรูพืช และแบ่งบรรจุปุ๋ยเคมีโดยไม่มีกระบวนการผลิตทางเคมี,28,,เลขที่ 2/23,13,นครปฐม,,5,บริษัท คชา เคมีการเกษตร จำกัด,13.794602,,บริษัท คชา เคมีการเกษตร จำกัด,73000,15,1472,เมืองนครปฐม,100.052818,11000000
นราภิรมย์,"ผลิตและแบ่งบรรจุสารกำจัดวัชพืช,สารป้องกันกำจัดศัตรูพืชและปุ๋ย เช่น ยาฆ่าหญ้า ยาฆ่าแมลง ยาฆ่าเชื้อรา ปุ๋ยเกล็ดและปุ๋ยน้ำ",4,,เลขที่ 88/5,2,นครปฐม,894566580,2,บริษัท ลิบรา ครอปไซเอนซ์ จำกัด,13.936504,,บริษัท ลิบรา ครอปไซเอนซ์ จำกัด,73130,2,1473,บางเลน,100.233284,10800000
นิลเพชร,ผลิตปุ๋ยอินทรีย์ ผสมปุ๋ยเคมีและผสมสารป้องกันหรือ กำจัดศัตรูพืชหรือสัตว์ โดยไม่ใช้ขบวนการทางเคมี,60,,เลขที่ 116,38,นครปฐม,02-7309013,5,บริษัท เอสที เฟอร์ทิลิตี้ จำกัด,14.12769,,บริษัท เอสที เฟอร์ทิลิตี้ จำกัด,73130,22,1474,บางเลน,100.24689,236000000
ทุ่งกระพังโหม,"ผลิตและแบ่งบรรจุสารเคมีเกษตรทุกชนิด,ยาปราบศัตรูพืช",12,มาลัยแมน,เลขที่ 168,7,นครปฐม,22915631,5,บริษัท คริสทอล ครอป เดเวลอปเมนท์ จำกัด,,,บริษัท คริสทอล ครอป เดเวลอปเมนท์ จำกัด,73140,5,1475,กำแพงแสน,,6173400
หอมเกร็ด,ผลิตอาหารเสริมสำหรับพืช,3,,เลขที่ 24/22,3,นครปฐม,14227255,3,บริษัท บุญพืช 2005 จำกัด,13.75998333,,บริษัท บุญพืช 2005 จำกัด,73110,0,1476,สามพราน,100.2335,5700000
นราภิรมย์,ผลิตและแบ่งบรรจุสารกำจัดวัชพืช สารป้องกันกำจัดศัตรูพืชและปุ๋ย เช่น ยาฆ่าหญ้า ยาฆ่าแมลง ยาฆ่าเชื้อรา ปุ๋ยเกล็ดและปุ๋ยน้ำ,4,,เลขที่ 88/2,2,นครปฐม,863023592,2,บริษัท ภิญโญภาสอินเตอร์เทรด จำกัด,13.936506,,นายณัฐธีร์ มัลลิจิโรจน์,73130,2,1477,บางเลน,100.233276,10800000
นครปฐม,ผลิตปุ๋ยอินทรีย์และดินปลูกต้นไม้ชีวภาพ,15,,เลขที่ 95/5,12,นครปฐม,,,นางศุภษา รังษีบุตร,,,นางศุภษา รังษีบุตร,73000,3,1478,เมืองนครปฐม,,5700000
