ถนน,เลขที่,ซอย,แรงม้า,เงินทุนรวม,_id,เลขทะเบียนเดิม,ลำดับ,ชื่อโรงงาน,โทรศัพท์,ประกอบกิจการ,คนงาน,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
,เลขที่ 79/1,,2851.87,17000000,1079,ข3-106-26/51ชบ,1079,บริษัท คอมพาส คอร์ปอเรชั่น จำกัด,,ผลิตเส้นใยโพลีเอสเตอร์จากเศษพลาสติก,70,20160,พานทอง,พานทอง,ชลบุรี,2
,เลขที่ 12/1,,125,2300000,1080,จ3-105-100/50ชบ,1080,บริษัท ต้นกล้าอุตสาหการ จำกัด,038-363054/081-3546334,"คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย , ทำประดิษฐกรรมแผ่นพื้นรองสินค้าจากไม้ยางพารา",20,20170,หนองซ้ำซาก,บ้านบึง,ชลบุรี,3
,เลขที่ 198/2,,260,7500000,1081,จ3-105-102/50ชบ,1081,บริษัท เมืองรวยเจริญ จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,11,20230,บึง,ศรีราชา,ชลบุรี,2
สาย 36,เลขที่ 719,,83,8860000,1082,จ3-105-107/50ชบ,1082,บริษัท อังประภาสตีล จำกัด,087-6956989,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,15,20110,หนองขาม,ศรีราชา,ชลบุรี,1
เก้ากิโล,เลขที่ โฉนดที่ดินเลขที่ 44813,,170,5500000,1083,จ3-105-107/52ชบ,1083,บริษัท บี จี ที จำกัด,081-8506079,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยและทำเม็ดพลาสติก,8,20230,ทุ่งสุขลา,ศรีราชา,ชลบุรี,12
,เลขที่ 67,,99,2590000,1084,จ3-105-114/52ชบ,1084,ห้างหุ้นส่วนจำกัด บุญอุดม รีไซเคิ้ล,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,21,20230,บึง,ศรีราชา,ชลบุรี,10
,เลขที่ 53/6,,155,1520000,1085,จ3-105-115/51ชบ,1085,บริษัท อัครชัย เทคเกอร์ จำกัด,038-263141,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,20000,หนองข้างคอก,เมืองชลบุรี,ชลบุรี,1
,เลขที่ 47/1,,0,1060000,1086,จ3-105-12/50ชบ,1086,บริษัท เมโทริ จำกัด,081-9026616,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20170,มาบไผ่,บ้านบึง,ชลบุรี,6
,เลขที่ 111/1,,225,17000000,1087,จ3-105-120/50ชบ,1087,บริษัท ธนาคูณโลหะ จำกัด,083-4565956,คัดแยกสิ่งปฏิกูลที่ไม่เป็นของเสียอันตราย และอัดเศษโลหะ,10,20130,ห้วยกะปิ,เมืองชลบุรี,ชลบุรี,1
หนองบอนแดง 2,เลขที่ 36,หนองบอนแดง2/3,91,6250000,1088,จ3-105-122/51ชบ,1088,บริษัท กฤษโลหะ จำกัด,086-5765555,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,20170,หนองบอนแดง,บ้านบึง,ชลบุรี,1
-,เลขที่ 46/3,-,13,3600000,1089,จ3-105-128/52ชบ,1089,เพิ่มทรัพย์ รีไซเคิล,868271752,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,5,20000,ดอนหัวฬ่อ,เมืองชลบุรี,ชลบุรี,3
-,เลขที่ 29,-,24.5,800000,1090,จ3-105-13/50ชบ,1090,ห้างหุ้นส่วนจำกัด เพิ่ม พูน ผล รีไซเคิล,087-1271065,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,5,20000,ดอนหัวฬ่อ,เมืองชลบุรี,ชลบุรี,5
บ้านบึง-แกลง,เลขที่ 423/1,,19.5,210000,1091,จ3-105-13/52ชบ,1091,บริษัท โลหะบูรพา จำกัด,,คัดแยกสิ่งปฎิกูลหรือวัสดุ ที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,2,20220,หนองไผ่แก้ว,บ้านบึง,ชลบุรี,5
,เลขที่ 265/5,,82,6000000,1092,จ3-105-137/51ชบ,1092,บริษัท จัวปภารีไซเคิลสหรุ่งเรือง จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20170,หนองชาก,บ้านบึง,ชลบุรี,3
,เลขที่ 410/3,,70,5000000,1093,จ3-105-14/51ชบ,1093,เจริญวัฒนา,038-300080,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดกระดาษ,6,20150,บางละมุง,บางละมุง,ชลบุรี,1
,เลขที่ 155/1,,18,5000000,1094,จ3-105-143/50ชบ,1094,บริษัท ทรัพย์เจริญ สิ่งแวดล้อม จำกัด,089-8341696,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20270,บ่อกวางทอง,บ่อทอง,ชลบุรี,2
,เลขที่ 117/77,,26.5,7500000,1095,จ3-105-144/51ชบ,1095,บริษัท เมทั่ล รีไซเคิ้ล จำกัด,,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,อัดเศษโลหะ,อัดเศษกระดาษและบดเศษพลาสติก",5,20180,พลูตาหลวง,สัตหีบ,ชลบุรี,4
สุขุมวิท,เลขที่ 144/1,,38,600000,1096,จ3-105-145/50ชบ,1096,ห้างหุ้นส่วนจำกัด กบไดนาโม,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วฯ,5,20150,บางละมุง,บางละมุง,ชลบุรี,1
สุขประยูร,เลขที่ 60/5,สุขาภิบาล 4,85,1810000,1097,จ3-105-148/50ชบ,1097,บริษัท อาร์ทีอาร์ จำกัด,038-206061-2,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายและบดย่อยพลาสติก,32,20160,หนองตำลึง,พานทอง,ชลบุรี,6
,เลขที่ 5,,213.87,1200000,1098,จ3-105-152/50ชบ,1098,บริษัท บี.ที.พัฒนา จำกัด,038-265999,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายและบดย่อยพลาสติก,14,20000,นาป่า,เมืองชลบุรี,ชลบุรี,5
,เลขที่ 324/1,,54.75,4200000,1099,จ3-105-157/51ชบ,1099,บริษัท พรชัย เว็ลธ แมนเนจเม้นท์ รีไซเคิล จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก ตัด เจาะ เชื่อมโลหะทั่วไป,11,20140,หมอนนาง,พนัสนิคม,ชลบุรี,12
,เลขที่ 373,,125,7600000,1100,จ3-105-162/50ชบ,1100,บริษัท นาโมยะ ชินโป เนชั่น กรุ๊ป จำกัด,0-2567-0373,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,7,20140,หนองเหียง,พนัสนิคม,ชลบุรี,8
,เลขที่ 7/40,,41,2180000,1101,จ3-105-164/50ชบ,1101,ส.ชุมพลรีไซเคิล,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,9,20170,หนองชาก,บ้านบึง,ชลบุรี,1
เลี่ยงเมืองชลบุรี,เลขที่ 8/7,,61,1900000,1102,จ3-105-169/51ชบ,1102,บริษัท สหรุ่งเจริญ พลาสติก จำกัด,038-148048,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,7,20000,นาป่า,เมืองชลบุรี,ชลบุรี,7
สุขประยูร,เลขที่ 43/4,,120,410000,1103,จ3-105-17/51ชบ,1103,โกเฮงชลบุรี,081-5767575,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,4,20000,ดอนหัวฬ่อ,เมืองชลบุรี,ชลบุรี,3
สาย 331,เลขที่ 99/2,,25,550000,1104,จ3-105-171/50ชบ,1104,บริษัท เดอะวาลูอะเบิล เวสท์ จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,9,20110,เขาคันทรง,ศรีราชา,ชลบุรี,8
,เลขที่ -,,30,700000,1105,จ3-105-172/50ชบ,1105,บริษัท เวิร์ล เวส แอนด์ รีไซเคิล จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย และบดย่อยพลาสติก,5,20150,เขาไม้แก้ว,บางละมุง,ชลบุรี,3
พานทอง-หัวไผ่,เลขที่ 20/1,,68,1550000,1106,จ3-105-174/50ชบ,1106,บริษัท พนมกรณ์ เมทัล จำกัด,089-0335559,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,6,20160,โคกขี้หนอน,พานทอง,ชลบุรี,3
เนินแร่,เลขที่ 173/9,,278,22000000,1107,จ3-105-175/50ชบ,1107,บริษัท เซ็ท อินดัสตรี จำกัด,02-7575446,"คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย , ล้างบดหรือย่อยพลาสติก , การทำพลาสติกเป็นรูปทรงต่าง ๆ และอัดเศษโลหะ",75,20140,นาเริก,พนัสนิคม,ชลบุรี,15
,เลขที่ 294/4,,23,2700000,1108,จ3-105-176/50ชบ,1108,บริษัท ศรีราชา สแคร็พ แอนด์ เซอร์วิส จำกัด,,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20110,สุรศักดิ์,ศรีราชา,ชลบุรี,8
สายขอบอ่างบางพระ,เลขที่ 194/21,,95,7500000,1109,จ3-105-177/50ชบ,1109,บริษัท วรรณ สแคร๊พ จำกัด,,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,อัดเศษโลหะ,อัดเศษกระดาษและบดเศษพลาสติก",11,20110,สุรศักดิ์,ศรีราชา,ชลบุรี,5
,เลขที่ 38/18,,194.7,12000000,1110,จ3-105-178/50ชบ,1110,บริษัท สหพัฒน์ พลาสติก จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บด ย่อยพลาสติก และการทำพลาสติกเป็นเม็ด แท่ง หรือรูปทรงต่างๆ,9,20000,หนองข้างคอก,เมืองชลบุรี,ชลบุรี,3
,เลขที่ 20,,22,3800000,1111,จ3-105-191/51ชบ,1111,บริษัท อ.สหรุ่งโรจน์ จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษกระดาษ เศษพลาสติก เศษยาง เศษเหล็ก ทองเหลือง ทองแดง ตะกั่ว ดีบุก อลูมิเนียม,8,20000,นาป่า,เมืองชลบุรี,ชลบุรี,7
บ้านบึง-แกลง,เลขที่ 688/7,,24.5,3850000,1112,จ3-105-195/51ชบ,1112,บริษัท กุญแจเงิน (ประเทศไทย) จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,6,20220,คลองกิ่ว,บ้านบึง,ชลบุรี,1
,เลขที่ 28/6,,34.5,2700000,1113,จ3-105-201/51ชบ,1113,บริษัท อัครชัยรีไซเคิล (ไทยแลนด์) จำกัด,081-2096226,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,9,20160,หน้าประดู่,พานทอง,ชลบุรี,1
,เลขที่ โฉนดที่ดินเลขที่ 44396,,171,5500000,1114,จ3-105-206/50ชบ,1114,วงษ์สว่างสติลแอนด์รีไซเคิล,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก อัดเศษโลหะและกลึง เชื่อมโลหะทั่วไป,10,20150,เขาไม้แก้ว,บางละมุง,ชลบุรี,1
สาย 331,เลขที่ 234/13,ทางเข้านิคมอีสเทรินซีบอร์ด,276.87,40000000,1115,จ3-105-208/51ชบ,1115,บริษัท เค.พี.เอส.รีไซเคิ้ล จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย อัดเศษโลหะ บดย่อยพลาสติก และผลิตเม็ดพลาสติกเกรดบี,16,20230,บ่อวิน,ศรีราชา,ชลบุรี,4
,เลขที่ 15/2,,193,7700000,1116,จ3-105-211/51ชบ,1116,บริษัท เฮง เฮง เฮง พลาสติก จำกัด,084-8227711,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก และทำพลาสติกเป็นเม็ด,12,20170,มาบไผ่,บ้านบึง,ชลบุรี,4
,เลขที่ 76,,5,2750000,1117,จ3-105-215/50ชบ,1117,ห้างหุ้นส่วนจำกัด หอมจันทร์,095-4569799,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20170,หนองบอนแดง,บ้านบึง,ชลบุรี,1
-,เลขที่ 8/49,-,35,6000000,1118,จ3-105-219/50ชบ,1118,บริษัท ชัยมีโชค จำกัด,038-148177,คัดแยกเศษวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,5,20000,หนองรี,เมืองชลบุรี,ชลบุรี,1
,เลขที่ 223,,296,12500000,1119,จ3-105-22/50ชบ,1119,บริษัท อีสเทอร์น รีไซเคิล แอนด์ เอ็นไวรอนเม้นท์ จำกัด,081-7361029,"คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย , อัดเศษโลหะ , บด ย่อย หลอมพลาสติก อัดเศษกระดาษ และทำลังไม้พาเลท",10,20230,บ่อวิน,ศรีราชา,ชลบุรี,4
สุขุมวิท-พานทอง,เลขที่ 68/5,,198,22000000,1120,จ3-105-221/50ชบ,1120,บริษัท พานทองรีซ จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก อัดเศษโลหะ,6,20160,บ้านเก่า,พานทอง,ชลบุรี,2
,เลขที่ 276/58,,130,35000000,1121,จ3-105-227/50ชบ,1121,บริษัท คราฟท์ แอนด์ เปเปอร์มิลล์ จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย อัดกระดาษ และอัดโลหะ,12,20230,บ่อวิน,ศรีราชา,ชลบุรี,3
,เลขที่ 80/5,,21,1250000,1122,จ3-105-229/51ชบ,1122,ห้างหุ้นส่วนจำกัด เกาหลี แอนด์ สหรัฐ รีไซเคิ้ล,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,6,20170,มาบไผ่,บ้านบึง,ชลบุรี,1
,เลขที่ 53/21,,39,5400000,1123,จ3-105-242/51ชบ,1123,บริษัท เอส. เอ. คอนแทรคติ้ง จำกัด,,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายและซ่อมแซมเครื่องจักรกลเก่าทุกชนิด,5,20000,บ้านสวน,เมืองชลบุรี,ชลบุรี,1
331,เลขที่ 533,,46,16000000,1124,จ3-105-243/51ชบ,1124,บริษัท ทวีชัยอุตสาหกรรมเหล็ก จำกัด,086-6101321,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,9,20220,หนองอิรุณ,บ้านบึง,ชลบุรี,7
,เลขที่ 115,,8,130000,1125,จ3-105-28/51ชบ,1125,ห้างหุ้นส่วนจำกัด ทรัพยา เซอร์วิส,,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20230,บึง,ศรีราชา,ชลบุรี,3
,เลขที่ 1,,19,350000,1126,จ3-105-29/50ชบ,1126,นางบุผาวรรณ จันตะเคียน,081-5914161,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,4,20000,หนองรี,เมืองชลบุรี,ชลบุรี,3
,เลขที่ 15/1,วิทูรย์ดำริ 10/1,6,5300000,1127,จ3-105-30/51ชบ,1127,ห้างหุ้นส่วนจำกัด ประกายซัพพลาย บ้านบึง,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,18,20170,บ้านบึง,บ้านบึง,ชลบุรี,
บ้านบึง-หนองบอนแดง,เลขที่ 129/2,,65,11000000,1128,จ3-105-31/50ชบ,1128,บริษัท ศรีรัตน์ แพ็คกิ้ง (1998) จำกัด,,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตรายและ ทำลัง แผ่นรองสินค้าจากไม้นอกประเภทหวงห้าม,22,20170,บ้านบึง,บ้านบึง,ชลบุรี,3
-,เลขที่ 43/1,-,120,220000,1129,จ3-105-31/51ชบ,1129,โกเฮงขนส่ง,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,4,20000,ดอนหัวฬ่อ,เมืองชลบุรี,ชลบุรี,3
,เลขที่ 16,,0,1800000,1130,จ3-105-38/50ชบ,1130,พี.พี.รีไซเคิล,081-9339335,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20000,หนองรี,เมืองชลบุรี,ชลบุรี,2
สาย 331,เลขที่ 256/18,โรงเรียนโป่งสะเก็ด,125,2800000,1131,จ3-105-40/51ชบ,1131,ห้างหุ้นส่วนจำกัด เจริญทวี เวิลด์ดิ้ง รีไซเคิล,,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20230,บ่อวิน,ศรีราชา,ชลบุรี,3
,เลขที่ 840/7,,99,38000000,1132,จ3-105-41/52ชบ,1132,บริษัท ซุ่นจิ้น เทคโนโลยี (ไทยแลนด์) จำกัด,038-202088,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,15,20220,คลองกิ่ว,บ้านบึง,ชลบุรี,1
ชลบุรี-แกลง,เลขที่ 85/12,,63,50000000,1133,จ3-105-43/51ชบ,1133,บริษัท ซีเอ็นซี ริยา (ไทยแลนด์) จำกัด,02-8758899,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายตามประกาศกระทรวงอุตสาหกรรมฯพ.ศ.2548 บดย่อยเศษพลาสติก และอัดเศษโลหะ,17,20170,บ้านบึง,บ้านบึง,ชลบุรี,2
,เลขที่ 11/3,,7,2020000,1134,จ3-105-44/51ชบ,1134,บริษัท ไทยคลัสเตอร์ อินเตอร์เทรด จำกัด,038-284697,คัดแยกวัสดุเหลือใช้จากอุตสาหกรรมที่ไม่มีอันตราย,2,20000,หนองรี,เมืองชลบุรี,ชลบุรี,3
,เลขที่ 59/9,,19,255000,1135,จ3-105-47/51ชบ,1135,พี.ซี.บี.รีไซเคิล,091-7783987,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,9,20000,ดอนหัวฬ่อ,เมืองชลบุรี,ชลบุรี,4
,เลขที่ 130/5,,57,3800000,1136,จ3-105-48/50ชบ,1136,นายธนสัณ ทรงพัฒนะโยธิน,,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดเศษพลาสติกและอัดเศษโลหะ,10,20110,สุรศักดิ์,ศรีราชา,ชลบุรี,3
,เลขที่ 129/66,,25,4000000,1137,จ3-105-48/51ชบ,1137,ไฟชอล ธุรกิจ,081-6999279,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,6,20230,บึง,ศรีราชา,ชลบุรี,3
,เลขที่ 9/7,,42,5100000,1138,จ3-105-49/52ชบ,1138,บริษัท พี.อาร์.เอส.กรุ๊ป จำกัด,,คัดแยกสิ่งปฎิกูลที่ไม่ใช้แล้วไม่ใช่ของเสียอันตราย,12,20160,หนองตำลึง,พานทอง,ชลบุรี,9
บ้านบึง-แกลง,เลขที่ -,-,32,2900000,1139,จ3-105-5/52ชบ,1139,บริษัท วศิกรณ์ 2010 รีไซเคิล จำกัด,086-1417560,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,20220,หนองไผ่แก้ว,บ้านบึง,ชลบุรี,5
,เลขที่ 98,,95,1850000,1140,จ3-105-52/50ชบ,1140,บริษัท ไจก้า เวส แมนเนจเม้นท์ จำกัด,038-171200,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย , อัดเศษกระดาษ เศษโลหะ, บดย่อยพลาสติก และผลิตเม็ดพลาสติก",8,20230,บ่อวิน,ศรีราชา,ชลบุรี,4
,เลขที่ 115/5,,0,400000,1141,จ3-105-58/50ชบ,1141,ห้างหุ้นส่วนจำกัด ประยูรรีไซเคิล,081-4291536,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20220,หนองอิรุณ,บ้านบึง,ชลบุรี,3
,เลขที่ 74/5,,60,3300000,1142,จ3-105-59/51ชบ,1142,บริษัท กำไรทองรุ่งเรือง จำกัด,086-8323032,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,5,20230,บึง,ศรีราชา,ชลบุรี,4
,เลขที่ 55/5,,9,700000,1143,จ3-105-64/52ชบ,1143,บริษัท ไท่หงอี้ จำกัด,038-279915,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,9,20000,หนองข้างคอก,เมืองชลบุรี,ชลบุรี,6
,เลขที่ -,,42,3400000,1144,จ3-105-66/51ชบ,1144,บริษัท จัสมิน เอ็นไวรอนเม้นท์ จำกัด,087-0220444,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,9,20160,หนองหงษ์,พานทอง,ชลบุรี,5
-,เลขที่ ,-,35,4200000,1145,จ3-105-68/52ชบ,1145,บริษัท พี แอนด์ เอ็น รีไซเคิลคอร์ปอเรชั่น จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,21,20150,บางละมุง,บางละมุง,ชลบุรี,8
,เลขที่ 18,,9,780000,1146,จ3-105-69/51ชบ,1146,ศ.เพิ่มพูล,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,20270,บ่อกวางทอง,บ่อทอง,ชลบุรี,3
,เลขที่ 98,,120,5800000,1147,จ3-105-70/51ชบ,1147,บริษัท เอเค เมคานิคอล แอนด์ รีไซคลิง จำกัด,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20140,สระสี่เหลี่ยม,พนัสนิคม,ชลบุรี,6
,เลขที่ 15,,7,1400000,1148,จ3-105-78/50ชบ,1148,ห้างหุ้นส่วนจำกัด นาป่ารีไซเคิล,061-7879456,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,8,20000,นาป่า,เมืองชลบุรี,ชลบุรี,6
เขาหาดยาว-คลองไผ่,เลขที่ 117/41,,65,7500000,1149,จ3-105-83/50ชบ,1149,บริษัท เอ็ม เอส โอ แอนด์ พี (ไทยแลนด์) จำกัด,038-430016,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,11,20180,พลูตาหลวง,สัตหีบ,ชลบุรี,3
,เลขที่ -,,250,16700000,1150,จ3-105-83/51ชบ,1150,นางสาวนัยนาฏ อัศวศรีโยธิน,,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก อัดเศษกระดาษ และอัดเศษโลหะ,12,20220,หนองอิรุณ,บ้านบึง,ชลบุรี,5
,เลขที่ 88,,24,1746500,1151,จ3-105-85/52ชบ,1151,ห้างหุ้นส่วนจำกัด โชคสุวิทย์พัฒนา,081-7810389,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,7,20160,บ้านเก่า,พานทอง,ชลบุรี,6
,เลขที่ 34,,14.5,8000000,1152,จ3-105-90/52ชบ,1152,บริษัท โบตั๋น รีไซเคิล จำกัด,,คัดแยกเศษวัสดุอุตสาหกรรมที่ไม่เป็นของเสียอันตราย,6,20140,หน้าพระธาตุ,พนัสนิคม,ชลบุรี,7
,เลขที่ 277/34,,36,535000,1153,จ3-105-92/51ชบ,1153,ดีเจริญค้าของเก่า,081-9643394,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,10,20230,บ่อวิน,ศรีราชา,ชลบุรี,3
,เลขที่ 69,,286.9,5300000,1154,จ3-105-93/52ชบ,1154,บริษัท ชัยเมธี จำกัด,02-8160811-4,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย และทำเม็ดพลาสติก,16,20160,หนองหงษ์,พานทอง,ชลบุรี,6
,เลขที่ 56/2,,90.63,2020000,1155,จ3-105-97/50ชบ,1155,บริษัท เอเซีย รีไซเคิล แอนด์ เซอร์วิส จำกัด,038-110807,คัดแยกสิ่งปฏิกูลที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,13,20170,มาบไผ่,บ้านบึง,ชลบุรี,1
บางนา-ตราดกิโลเมตรที่57,เลขที่ 700/403,,476.5,85479000,1156,น.101-1/2550-นอน.,1156,บริษัท เอ็น15 เทคโนโลยี จำกัด,0-2541-5245-7,.เตาเผากากของเสียเพื่อผลิตกระแสไฟฟ้าขนาดเล็กมาก(VSPP)ขนาด1.5MW.และคัดแยกและแปรรูปขยะสำนักงานที่ผ่านการคัดแยกแล้วและขยะอุตสาหกรรมที่ไม่เป็นอันตราย,24,20000,ดอนหัวฬ่อ,เมืองชลบุรี,ชลบุรี,7
