ไปรษณีย์,ประกอบกิจการ,TSIC,ลำดับ,เงินทุนรวม,เลขที่,อำเภอ,คนงานรวม,FID,หมู่,โทรศัพท์,คนงานชาย,ซอย,แรงม้า,GPS_lat,ถนน,ตำบล,คนงานหญิง,GPS_lng,ชื่อโรงงาน,สิ้นอายุ,factype,อนุญาต,_id,เลขทะเบียนเดิม,จังหวัด
,แปรรูปพืชสมุนไพร เครื่องเทศ ผลิตยาแผนโบราณ,106000000000,755,,เลขที่ 129/2,ปากเกร็ด,4000000,-20120200125609-,1,,0,,15,21/03/1474,เลียบคลองประปา,บ้านใหม่,4000000,20/03/1477,บริษัท เซบิทโค จำกัด,1,,1550,755,จ3-46(3)-1/60นบ,นนทบุรี
72160,ผลิตอาหารเสริม ยาแผนโบราณ เครื่องดื่มที่ไม่มีแอลกอฮอล์ ขนมอัดเม็ด และอาหารสำเร็จรูป,21001,756,10000000,เลขที่ 51/32-33,บางบัวทอง,15,-20120200125617-,4,,4,,445.76,100.387492,บางกรวย-ไทรน้อย,บางบัวทอง,11,,ไดนาฟูด,13.940107,3,20/03/1475,756,จ3-46(3)-1/61นบ,นนทบุรี
,ผลิตภัณฑ์เสริมอาหารเพื่อสุขภาพ,106000000000,757,,เลขที่ 29/59,บางบัวทอง,1000000,-20120201725621-,2,,0,,9,07/08/1476,,ลำโพ,3999998,14/09/1477,บริษัท อมตะ ไลฟ์ พลัส จำกัด,1,,760,757,จ3-46(3)-1/62นบ,นนทบุรี
11110,ทำผลิตภัณฑ์เสริมอาหารเพื่อสุขภาพ,21001,758,88594266.59,เลขที่ 10/5,บางบัวทอง,64,-20120046225662-,3,29204422,20,,187.86,,,ลำโพ,44,,บริษัท อมตะ ไลฟ์ พลัส จำกัด,,3,22/03/1480,758,จ3-46(3)-1/66นบ,นนทบุรี
11110,ผลิตเสริมอาหาร,21001,759,12000000,เลขที่ 110/3,บางบัวทอง,12,-20120001525619-,7,,8,,253.4,100.3840136,,ละหาร,4,,บริษัท จี.อีเดน จำกัด,13.98195334,3,01/11/1475,759,จ3-46(3)-15/61นบ,นนทบุรี
,ผลิตเสริมอาหาร,106000000000,760,,เลขที่ 55/31,บางบัวทอง,5000000,-20120001625617-,3,,6000000,,4,05/11/1475,,ลำโพ,10000000,01/02/1476,บริษัท ธนัทเฮิร์บ พาณิชย์ จำกัด,1,,857,760,จ3-46(3)-16/61นบ,นนทบุรี
11110,ทำผลิตภัณฑ์อาหารเสริมและยาสมุนไพร,21001,761,51000000,เลขที่ 29/135,บางบัวทอง,13,-20120200225482-,2,0-2961-7013,7,-,173.94,100.4337167,สาย 345 (ปทุมธานี-บางบัวทอง),ลำโพ,6,,บริษัท เสริมพิสิทธิ์ จำกัด,13.9537,3,02/05/1462,761,จ3-46(3)-2/48นบ,นนทบุรี
,ผลิตเสริมอาหาร,126000000000,762,,เลขที่ 49,ไทรน้อย,20000000,-20120100325614-,1,,5000000,,14,04/05/1475,บางบัวทอง-ลาดบัวหลวง,ราษฎร์นิยม,40000000,27/08/1475,บริษัท เอสคิวไอ อินโนเวชั่น จำกัด,1,,123480,762,จ3-46(3)-3/61นบ,นนทบุรี
,ผลิตอาหารเสริม,126000000000,763,,เลขที่ 29/90,บางบัวทอง,10000000,-20120100425604-,2,,2000000,,15,28/09/1474,ทางหลวงหมายเลข 345,ลำโพ,8000000,07/02/1475,บริษัท ธนกฤต กรุ๊ป จำกัด,1,,800,763,จ3-46(3)-4/60นบ,นนทบุรี
,ผลิตอาหารเสริม,1100000000000,764,,เลขที่ 20/12,ไทรน้อย,1000000,-20120146625639-,3,,1000000,,9,31/07/1477,,คลองขวาง,2000000,08/02/1478,ซัน เฮลท์แอนด์บิวตี้,1,,371,764,จ3-46(3)-4/63นบ,นนทบุรี
,ผลิตเสริมอาหาร,21001,765,51000000,เลขที่ 55/30,บางบัวทอง,13,-20120000725616-,3,,5,,54,100.435058,,ลำโพ,8,,บริษัท ธนัทเฮิร์บ พาณิชย์ จำกัด,13.954348,3,08/08/1475,765,จ3-46(3)-7/61นบ,นนทบุรี
,ผลิตแชมภูสระผม,126000000000,766,,เลขที่ 52/4,ปากเกร็ด,1500000,-20120500125457-,8,,2100000,อบต.คลองข่อย,14,29/08/1459,สาย 345-ประตูน้ำคลองพระอุดม,คลองข่อย,2000000,04/04/1460,บริษัท วีชมาร์ต จำกัด,1,,4028,766,จ3-47(1)-1/45นบ,นนทบุรี
11120,ผลิตน้ำยาทำความสะอาดภาชนะต่างๆ และทำเครืองสำฯ,20231,767,4300000,เลขที่ 26/5,ปากเกร็ด,7,-20121800125460-,10,02-8841048-9,5,,104.7,100.4211,เกษตรอุดมฯถ.วงแหวนรอบนอก,คลองข่อย,2,,บริษัท เดเวอร์ แล็บ จำกัด,13.98316667,3,26/03/1460,767,จ3-47(1)-1/46นบ,นนทบุรี
11110,ทำสบู่ วัสดุสังเคราะห์สำหรับซักฟอก แชมพู ผลิตภัณฑ์สำหรับซักผ้าหรือขัดถูและการทำยาฆ่าเชื้อโรคหรือยาดับกลิ่น,20231,768,23000000,เลขที่ 333/28-29,บางบัวทอง,13,-20120100125519-,9,0-2964-4960-3,8,-,53.54,100.40338,บางบัวทอง-สุพรรณบุรี,ละหาร,5,,บริษัท สมาร์ทแล็บ จำกัด,13.94743,3,04/02/1465,768,จ3-47(1)-1/51นบ,นนทบุรี
11110,ผลิตสบู่สมุนไพรและเครื่องสำอาง,20231,769,32000000,เลขที่ 53/39,บางบัวทอง,64,-20120101125583-,3,02 5258645-6,38,,53.5,100.4354556,345,ลำโพ,26,,บริษัท เอ.เอส.พี.อินเตอร์เนชั่น เฮอร์บัลโซป จำกัด,13.95469725,3,15/09/1472,769,จ3-47(1)-11/58นบ,นนทบุรี
,ผลิตสบู่สมุนไพรและเครื่องสำอาง,106000000000,770,,เลขที่ 29/112,บางบัวทอง,10000000,-20120001225582-,2,,3945000,,38,15/09/1472,345,ลำโพ,10000000,23/11/1472,บริษัท เอ.เอส.พี.อินเตอร์เนชั่น เฮอร์บัลโซป จำกัด,1,,1032,770,จ3-47(1)-12/58นบ,นนทบุรี
11110,ผลิตสบู่สมุนไพรและเครื่องสำอาง,20231,771,32000000,เลขที่ 55/40,บางบัวทอง,104,-20120001325580-,3,02 5258782-3,38,,53.89,100.435577,345,ลำโพ,66,,บริษัท เอ ยูเอสเอ จำกัด,13.95454199,3,15/09/1472,771,จ3-47(1)-13/58นบ,นนทบุรี
,ผลิตเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย ฯลฯ,126000000000,772,,เลขที่ 51/3,ปากเกร็ด,5000000,-20120300225465-,2,,50000000,ศรีตะปันย์,20,08/09/1460,แจ้งวัฒนะ,คลองเกลือ,12000000,04/03/1461,บริษัท เยเนอรัล แคร์ โปรดักส์ จำกัด,1,,15414,772,จ3-47(1)-2/46นบ,นนทบุรี
,ผลิตน้ำนาถูพื้น น้ำยาเก้บฝุ่นละออง น้ำยาซักผ้า น้ำยาปรับผ้านุ่ม น้ำยาทำความสะอาดเครื่องสุขภัณฑ์ น้ำยาล้างจาน น้ำยาล้างรถ น้ำยาล้างมือ น้ำยาเช็ดกระจก,126000000000,773,,เลขที่ 54/19,บางบัวทอง,1500000,-20120100425596-,5,,0,,3,29/04/1473,ตลิ่งชัน-สุพรรณบุรี,ละหาร,1500000,15/08/1473,บริษัท ชัวร์ เคมีคอล ซัพพลาย จำกัด,1,,800,773,จ3-47(1)-4/59นบ,นนทบุรี
11150,ผลิตน้ำยาล้างจาน ผงซักฟอก น้ำยาฆ่าเชื้อโรค และน้ำยาดับกลิ่น,20231,774,8048000,เลขที่ 24/45,ไทรน้อย,22,-20120100625484-,2,,19,-,65.5,100.3499833,บางกรวย-ไทรน้อย,ไทรน้อย,3,,บริษัท ดรุชัย เอ็นเตอร์ไพรส์ จำกัด,13.97745,3,25/08/1462,774,จ3-47(1)-6/48นบ,นนทบุรี
11150,ผลิตสบู่เครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย เช่น น้ำยาทำความสะอาดสุขภัณฑ์ สบู่เหลว ผงซักฟอก แชมพู และยาสีฟัน,20231,775,31000000,เลขที่ 49,ไทรน้อย,17,-20120100925579-,1,0 2921 9751,10,,183,100.3035583,บางบัวทอง-ลาดบัวหลวง,ราษฎร์นิยม,7,,บริษัท เอสคิวไอ อินโนเวชั่น จำกัด,14.03217142,3,17/09/1471,775,จ3-47(1)-9/57นบ,นนทบุรี
,ผลิตสบู่ ผงซักฟอก ผลิตภัณฑ์สำหรับชำระล้างหรือขัดถู,126000000000,776,,เลขที่ 15/9,บางบัวทอง,5000000,-20120439525645-,6,,0,,16,29/09/1478,,ละหาร,10000000,15/12/1478,บริษัท เซเว่นเซฟ เอนเตอร์ไพรส์ จำกัด,1,,7200,776,จ3-47(1)-9/64นบ,นนทบุรี
11120,ผลิตผลิตภัณฑ์เครื่องสำอางและอาหารเสริม,20232,777,85000000,เลขที่ 25/7,ปากเกร็ด,150,-20120002225656-,3,955537350,75,,490.03,100.4774098,,คลองพระอุดม,75,,บริษัท เนจ ไซเอนซ์ จำกัด,13.93316626,3,06/01/1479,777,จ3-47(3)-1/65นบ,นนทบุรี
,ผลิตเครื่องสำอาง,126000000000,778,,เลขที่ 5/10,บางใหญ่,2500000,-20120220825626-,10,,5000000,,6,27/08/1476,,บางแม่นาง,1400000,24/09/1476,บริษัท เนจไซเอนซ์ จำกัด,1,,1000,778,จ3-47(3)-10/62นบ,นนทบุรี
,ผลิตเครื่องสำอาง,106000000000,779,,เลขที่ 88/40,ปากเกร็ด,1000000,-20120102525617-,,,5000000,,3,05/11/1475,บางบัวทอง-ปทุมธานี,บางตะไนย์,3000000,03/12/1475,บริษัท มีสตางค์มีทรัพย์ จำกัด,1,,374,779,จ3-47(3)-25/61นบ,นนทบุรี
,ผลิตเครื่องสำอางดูแลผมและสิ่งปรุงแต่งร่างกาย,106000000000,780,,เลขที่ 56/6,ปากเกร็ด,5000000,-20120200325498-,5,,10000000,-,19,07/06/1463,แจ้งวัฒนะ,ปากเกร็ด,8000000,05/07/1463,บริษัท ออด๊าซ อินดัสทรี่ จำกัด,1,,8000,780,จ3-47(3)-3/49นบ,นนทบุรี
,ทำเครื่องสำอางหรือสิ่งปรุงแต่งร่างกาย,106000000000,781,,เลขที่ 8/9,ไทรน้อย,5000000,-20120287525648-,2,,10000000,,5,29/04/1478,,ขุนศรี,3000000,,บริษัท เนเจอร์ เบนเนฟิท จำกัด,0,,9940,781,จ3-47(3)-4/64นบ,นนทบุรี
11120,ผลิตเครื่องสำอางและผลิตภัณฑ์เสริมอาหาร,20232,782,4500000,เลขที่ 88/56,ปากเกร็ด,60,-20120048725651-,1,,30,,449,,บางบัวทอง-ปทุมธานี,บางตะไนย์,30,,บริษัท นูตร้าแล็ป จำกัด,,3,21/03/1479,782,จ3-47(3)-4/65นบ,นนทบุรี
,ทำเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย เช่น ผลิตภัณฑ์ทำความสะอาดและดูแลผิวพรรณ ผลิตภัณฑ์สปา,104000000000,783,,เลขที่ 12/10,บางบัวทอง,100000,-20120200525477-,4,,1000000,,2,11/08/1461,วัดลาดปลาดุก,บางคูรัด,1000000,14/08/1464,ห้างหุ้นส่วนจำกัด สหวัฒนาอิมปอร์ตเอ๊กซปอร์ต,1,,546,783,จ3-47(3)-5/47นบ,นนทบุรี
,ผลิตเครื่องสำอาง เช่น ครีมทาหน้า ครีมนวดตัว เป็นต้น,126000000000,784,,เลขที่ 55/5,บางบัวทอง,400000,-20120000525495-,7,,5400000,-,22,01/09/1463,กาญจนาภิเษก,ลำโพ,156922,01/10/1463,บริษัท พรีมา แคร์ อินเตอร์เนชั่นแนล จำกัด,1,,2392,784,จ3-47(3)-5/49นบ,นนทบุรี
,ผลิตเครื่องสำอาง,126000000000,785,,เลขที่ 555,บางกรวย,1000000,-20120200525550-,5,,6000000,บางขนุน 3,25,29/10/1469,บางกรวย-จงถนอม,มหาสวัสดิ์,3000000,24/12/1471,บริษัท สกิน อินทิเมท จำกัด,1,,1600,785,จ3-47(3)-5/55นบ,นนทบุรี
,ผลิตเครื่องสำอาง,126000000000,786,,เลขที่ 12/15,บางใหญ่,1000000,-20120153525623-,2,,5000000,,7,14/06/1476,,บางแม่นาง,2000000,19/12/1476,บริษัท ไทย บิวตี้ กรุ๊ป (ประเทศไทย) จำกัด,1,,1780,786,จ3-47(3)-5/62นบ,นนทบุรี
11110,ผลิตเครื่องสำอางหรือสิ่งปรุงแต่งร่างกาย,20232,787,36000000,เลขที่ 29/67,บางบัวทอง,65,-20120300325646-,2,29752204,25,,395.6,100.4347701,,ลำโพ,40,,บริษัท แพทย์สะอาด แลบ จำกัด,13.95232935,3,12/05/1478,787,จ3-47(3)-5/64นบ,นนทบุรี
,ผลิตเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย,126000000000,788,,เลขที่ 52/5,ปากเกร็ด,1000000,-20120373925645-,8,,12500000,,7,15/07/1478,,คลองข่อย,3000000,04/07/1479,บริษัท วีชเบสท์ จำกัด,1,,4711,788,จ3-47(3)-7/64นบ,นนทบุรี
11120,ผลิตเครื่องสำอาง,20232,789,10272000,เลขที่ 88/11,ปากเกร็ด,15,-20120130725650-,1,623547782,2,โรงงานเมืองเช่า,81.4,100.4795,345,บางตะไนย์,13,,บริษัท พฤกษาแลบบอราเทอรี่ จำกัด,13.95589,3,03/08/1479,789,จ3-47(3)-7/65นบ,นนทบุรี
,ผลิตเครื่องสำอาง,126000000000,790,,เลขที่ 78/6,ปากเกร็ด,3000000,-20120251225639-,8,,4500000,,4,18/11/1477,,ท่าอิฐ,10000000,15/07/1478,บริษัท วาโย โปรดักส์ จำกัด,1,,1336,790,จ3-47(3)-8/63นบ,นนทบุรี
11110,ทำเครื่องสำอางหรือสิ่งปรุงแต่งร่างกาย เช่น เกลือสปาอาบน้ำ น้ำมันใส่ผม ครีมหมักผม เป็นต้น,20232,791,44850000,เลขที่ 99/9,บางบัวทอง,60,-20120100925470-,7,01-4462599,35,,187.4,100.4000833,,ละหาร,25,,บริษัท ลีกาโน่ (ประเทศไทย) จำกัด,13.96895,3,15/10/1461,791,จ3-47(3)-9/47นบ,นนทบุรี
,ผลิตขี้ผึ้งและเทียนไข,106000000000,792,,เลขที่ 49,ไทรน้อย,5000000,-20120600125407-,1,,0,,11,25/12/1454,บางบัวทอง-ลาดบัวหลวง,ราษฎร์นิยม,3000000,23/02/1455,บริษัท สยาม ควอลิตี้ อินดัสทรี้ส จำกัด,1,,385,792,จ3-48(1)-1/40นบ,นนทบุรี
11000,ครีมนับธนบัตร และแบ่งบรรจุผลิตภัณฑ์เทปกาว กาวหลอด,20299,793,9200000,เลขที่ 2,เมืองนนทบุรี,19,-20120600125456-,,0-2526-1589,4,ติวานนท์ 2 แยก 2,62.87,100.5128667,,ตลาดขวัญ,15,,บริษัท พี.เกรท มาร์เก็ตติ้ง จำกัด,13.84148333,3,22/08/1459,793,จ3-48(2)-1/45นบ,นนทบุรี
,ผลิตกาวใช้ในอุตสาหกรรม เช่น กาวน้ำ กาวเม็ด ฯลฯ,106000000000,794,,เลขที่ 75/1,ปากเกร็ด,8000000,-20120300125475-,1,,0,พระมหาการุณย์,36,20/01/1461,,บ้านใหม่,15000000,15/03/1461,บริษัท เอ็นทีพี ทรินิตี้ จำกัด,1,,860,794,จ3-48(3)-1/47นบ,นนทบุรี
,"ผลิตผงเชื่อมสายล่อฟ้าและสายดิน ,ผลิตถ้วยเซรามิค",108000000000,795,,เลขที่ 27,ไทรน้อย,60000000,-20120145525624-,1,,29000000,,59,07/06/1476,,ไทรใหญ่,54242952,23/04/1477,บริษัท คัมเวล คอร์ปอเรชั่น จำกัด (มหาชน),1,,40445,795,จ3-48(3)-2/62นบ,นนทบุรี
11150,ผลิตกาวลาเท็กซ์ กาวเด็กซ์ตริน,20292,796,22000000,เลขที่ โฉนดที่ดินเลขที่ 52767,ไทรน้อย,6,-20120128025667-,9,624154254,5,วัดสโมสร,236.19,,บางเลน-ปทุมธานี,ไทรใหญ่,1,,บริษัท พีเอ็มซี มิลเลนเนียม จำกัด,,3,18/08/1480,796,จ3-48(3)-2/66นบ,นนทบุรี
,ผลิตกาวลาเท็กซ์,,797,,เลขที่ 69/3,ปากเกร็ด,1000000,-20120200425520-,1,,14000000,ศรีสมาน 8,5,03/07/1466,ศรีสมาน,บ้านใหม่,1000000,09/09/1466,บริษัท เค.โอ.ที. จำกัด,1,,1604,797,จ3-48(3)-4/52นบ,นนทบุรี
,ผลิตเทียนไข และเทียนไหว้เจ้า,126000000000,798,,เลขที่ 14/11,บางใหญ่,1000000,-20120300225481-,5,,12000000,แก้วอินทร์,3,17/02/1462,ตลิ่งชัน-สุพรรณบุรี,เสาธงหิน,3000000,11/08/1465,บริษัท เซียวฮั้วเฮง แคนเดิล จำกัด,1,,24000,798,จ3-48(5)-2/48นบ,นนทบุรี
,ทำหมึกพิมพ์,106000000000,799,,เลขที่ 29/2,บางบัวทอง,1000000,-20120800125454-,2,,2975000,,2,11/07/1459,สาย  345,ลำโพ,700000,02/09/1459,บริษัท โมโนเมอร์ จำกัด,3,หมึกพิมพ์,450,799,จ3-48(6)-1/45นบ,นนทบุรี
,ผสมหมึกพิมพ์,106000000000,800,,เลขที่ 88/36,ปากเกร็ด,5000000,-20120007825633-,1,,1800000,,3,13/01/1477,345,บางตะไนย์,3000000,28/09/1477,บริษัท เอ็นวาย-เท็ค อิ้งค์แอนด์เคมิคอลส์ จำกัด,1,,666,800,จ3-48(6)-1/63นบ,นนทบุรี
11150,ผลิตยาจุดกันยุง,20115,801,3900000,เลขที่ 55,ไทรน้อย,5,-20120200125591-,3,,3,,139.5,100.2926586,ปทุม-บางเลน,ขุนศรี,2,,บริษัท สัมฤทธิ์พันธุ์สุข จำกัด,14.02964885,3,21/09/1473,801,จ3-48(7)-1/59นบ,นนทบุรี
,ผลิตนมสดพาสเจอร์ไรด์,126000000000,802,,เลขที่ 48/86,บางบัวทอง,500000,-20120000825531-,2,,0,ดวงทอง,6,13/09/1467,บางกรวย-ไทรน้อย,บางรักใหญ่,1500000,11/10/1467,บริษัท ฮอกไกโด โมริโมโตะ จำกัด,1,,264,802,จ3-5(1)-8/53นบ,นนทบุรี
,ผลิตแม่สีสำหรับใช้ในอุตสาหกรรมยางและพลาสติก,106000000000,803,,เลขที่ 71/9,บางบัวทอง,200000,-20120800125371-,5,,1450000,,10,26/05/1451,บางกรวย-ไทรน้อย,บางบัวทอง,50000,15/06/1451,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,1,,296,803,จ3-50(4)-1/37นบ,นนทบุรี
11110,ผลิตแม่สีและเคมีที่ใช้ในอุตสาหกรรมยางและพลาสติก,19209,804,5050000,เลขที่ 71/29,บางบัวทอง,21,-20120700125414-,5,903-6691-2,14,,594,100.3731667,บางกรวย-ไทรน้อย,บางบัวทอง,7,,บริษัท ไทย อีลาสโตพาร์ท จำกัด,13.94318333,3,18/06/1455,804,จ3-50(4)-1/41นบ,นนทบุรี
11150,ผลิตแม่สีสำหรับเทียนไขและพลาสติก,19209,805,11665495,เลขที่ 49/5,ไทรน้อย,15,-20120102125475-,1,02-9219751-2,12,,517.5,100.3116667,ไทรน้อย-ลาดบัวหลวง,ราษฎร์นิยม,3,,บริษัท เอส.คิว.ไอ.ไฟน์คัลเลอร์ จำกัด,14.05886667,3,11/10/1461,805,จ3-50(4)-21/47นบ,นนทบุรี
,ผลิตแม่มีสำหรับสีเทียนและพลาสติก,126000000000,806,,เลขที่ 49,ไทรน้อย,5714935,-20120003725571-,1,,0,,12,16/09/1471,,ราษฎร์นิยม,5950560,15/10/1471,บริษัท เอส.คิว.ไอ.ไฟน์คัลเลอร์ จำกัด,1,,1625,806,จ3-50(4)-37/57นบ,นนทบุรี
,ผลิตถุงมือยาง,736000000000,807,,เลขที่ 25/13,บางใหญ่,200000,-20120800125389-,11,,7000000,,30,10/07/1452,ตลิ่งชัน-สุพรรณบุรี,บางม่วง,300000,20/11/1453,บริษัท โกลด์ พลาสติกแอนด์รับเบอร์ จำกัด,1,,2400,807,จ3-52(4)-1/38นบ,นนทบุรี
11110,ผลิตยางและพลาสติกกึ่งสำเร็จรูป,22199,808,7800000,เลขที่ 71/30,บางบัวทอง,8,-20120400125425-,5,9036691-3,8,,595,100.3747167,บางกรวย-ไทรน้อย,บางบัวทอง,0,,บริษัท สยามนวกรรม จำกัด,13.94596667,3,16/11/1456,808,จ3-52(4)-1/42นบ,นนทบุรี
,ทำผลิตภัณฑ์จากยาง,106000000000,809,,เลขที่ 71/31,บางบัวทอง,1000000,-20121000125443-,5,,700000,,10,06/06/1458,บางกรวย-ไทรน้อย,บางบัวทอง,2000000,02/07/1458,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,1,,465,809,จ3-52(4)-1/44นบ,นนทบุรี
,ผลิตยางปูพื้นรถยนต์,,810,,เลขที่ -,ไทรน้อย,10000000,-20120200125518-,6,,80000000,-,15,08/01/1465,บางบัวทอง-สุพรรณบุรี,ราษฎร์นิยม,15000000,,บริษัท อี.ไอ.โปรดักส์ จำกัด,0,,0,810,จ3-52(4)-1/51นบ,นนทบุรี
11150,ทำผลิตภัณฑ์จากน้ำยาง(น้ำยางผสม),22199,811,170000000,เลขที่ 71,ไทรน้อย,26,-20120125825622-,10,,17,,452.5,14.01940037,ไทรน้อย-ลาดบัวหลวง,คลองขวาง,9,100.3117381,บริษัท สยามไตโยคิว จำกัด,,3,16/05/1476,811,จ3-52(4)-14/62นบ,นนทบุรี
11120,"ทำผลิตภัณฑ์จากยางพารา เช่น หมอน,ที่นอน",22199,812,24000000,เลขที่ 88/8,ปากเกร็ด,12,-20120001925603-,1,02 1590218-9,8,,494,100.2845,,บางตะไนย์,4,,บริษัท ลิตา เบดดิ้ง อินเตอร์ จำกัด,13.572,3,11/09/1474,812,จ3-52(4)-19/60นบ,นนทบุรี
,ผลิตชิ้นส่วนหรืออุปกรณ์ของรถยนต์จากยางเช่นซิลโอริง,106000000000,813,,เลขที่ 47,บางกรวย,80000,-20120200225383-,3,,3000000,,19,16/10/1452,,มหาสวัสดิ์,900000,05/08/1453,บริษัท อิเทอร์นัล เอ็นเตอร์ไพรส์ จำกัด,1,,4800,813,จ3-52(4)-2/38นบ,นนทบุรี
11110,ทำผลิตภัณฑ์จากยางและพลาสติก,22199,814,12500000,เลขที่ 75/3,บางบัวทอง,17,-20120500225471-,5,02-9036691-3,13,,490,100.3746667,บางกรวย-ไทรน้อย,บางบัวทอง,4,,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,13.94581667,3,20/01/1461,814,จ3-52(4)-2/47นบ,นนทบุรี
11110,ทำผลิตภัณฑ์จากยางและพลาสติก,22199,815,10800000,เลขที่ 75/2,บางบัวทอง,10,-20120100325473-,5,0 2903 6913,10,,285,100.3746667,บางกรวย-ไทรน้อย,บางบัวทอง,0,,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,13.94591667,3,21/01/1461,815,จ3-52(4)-3/47นบ,นนทบุรี
11110,ทำผลิตภัณฑ์จากยางและพลาสติก,22199,816,23200000,เลขที่ 75/1,บางบัวทอง,38,-20120200425470-,5,0-29036691-3,20,,436,100.3746833,บางกรวย-ไทรน้อย,บางบัวทอง,18,,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,13.94591667,3,22/01/1461,816,จ3-52(4)-4/47นบ,นนทบุรี
,การทำผลิตภัณฑ์ยางจากยางธรรมชาติหรือยางสังเคราะห์ เช่น หมอนยางพารา เป็นต้น,126000000000,817,,เลขที่ 92/1,บางบัวทอง,500000,-20120107725642-,7,,6500000,,6,09/02/1478,,ลำโพ,3000000,19/07/1478,บริษัท เอ็มเอสเอสอี รับเบอร์ แมนูแฟคเจอริ่ง จำกัด,3,,2400,817,จ3-52(4)-7/64นบ,นนทบุรี
11150,ผลิตฟองน้ำจากยางพารา,22199,818,11000000,เลขที่ ,ไทรน้อย,11,-20120000925489-,3,,9,,114.1,13.97813333,บางกรวย-ไทรน้อย,ไทรน้อย,2,100.3297,ห้างหุ้นส่วนจำกัด สแตนดาร์ดโฟมรับเบอร์แฟคตอรี่,,3,16/03/1462,818,จ3-52(4)-9/48นบ,นนทบุรี
11000,ทำขารองโต๊ะด้วยพลาสติก,22210,819,5000000,เลขที่ 62/68,เมืองนนทบุรี,9,-20120800125363-,1,02-4462209,6,ปรัศนีย์,83.29,100.4698,บางกรวย-ไทรน้อย,บางกร่าง,3,,,13.8348,3,21/07/1450,819,จ3-53(1)-1/36นบ,นนทบุรี
,ผลิตเทปพลาสติกเคลือบกาว,106000000000,820,,เลขที่ 9/3,ไทรน้อย,2000000,-20120900125370-,3,,1500000,,10,29/03/1451,บางเลน-ปทุมธานี,คลองขวาง,266560,09/05/1451,บริษัท เค.ซี.พี.มาสเตอร์ไทย จำกัด,1,,2468,820,จ3-53(1)-1/37นบ,นนทบุรี
,เคลือบผิวผลิตภัณฑ์พลาสติกด้วยอลูมิเนียม,3100000000000,821,,เลขที่ 26/4,ไทรน้อย,300000,-20120800125405-,5,,4000000,,11,09/04/1454,บางกรวย-ไทรน้อย,ไทรน้อย,2000000,29/08/1454,,1,,2880,821,จ3-53(1)-1/40นบ,นนทบุรี
,ทำผลิตภัณฑ์พลาสติก และพลาสติกเสริมโลหะทุกชนิด,126000000000,822,,เลขที่ 99/9,บางบัวทอง,1000000,-20120900125453-,4,,15000000,บริสุทธิ์พงศ์,33,28/05/1459,บางบัวทอง-ไทรน้อย,บางบัวทอง,12000000,15/07/1459,บริษัท บี ที บี อินดัสตรี จำกัด,1,,6400,822,จ3-53(1)-1/45นบ,นนทบุรี
,ทำผลิตภัณฑ์พลาสติกสำหรับสัมผัสอาหาร,106000000000,823,,"เลขที่ 69/134, 69/143",ปากเกร็ด,2000000,-20120000425670-,1,,14000000,พระแม่มหาการุณย์,8,02/01/1481,ติวานนท์,บ้านใหม่,10000000,01/02/1481,บริษัท โคโตบุคิ จำกัด,1,,5880,823,จ3-53(1)-1/67นบ,นนทบุรี
11150,ผลิตภาชนะบรรจุ เครื่องมือแพทย์ เครื่องใช้ เครื่องเรือน เครื่องประดับ จากพลาสติก และหน้ากากอนามัย,22210,824,131020000,เลขที่ โฉนดเลขที่ 47338,ไทรน้อย,15,-20120163625645-,4,,8,,304.25,100.3098467,,ไทรใหญ่,7,,บริษัท พีเอกซ์สเตอร์ จำกัด,14.11187223,3,18/02/1478,824,จ3-53(1)-10/64นบ,นนทบุรี
11150,ผลิตเครื่องใช้ของใช้จากพลาสติก,22210,825,16400000,เลขที่ 4/28,ไทรน้อย,53,-20120001425513-,4,0-2452-2090-1,32,-,2414,100.29588,ทางหลวงชนบท นบ.6010,หนองเพรางาย,21,,บริษัท พลาสติกไทยรัช จำกัด,13.92257,3,04/04/1465,825,จ3-53(1)-14/51นบ,นนทบุรี
,ทำเครื่องมือ เครื่องใช้ เครื่องเรือน และเครื่องประดับจากพลาสติก เช่น ตัวการ์ตูน,1100000000000,826,,เลขที่ 9/8,บางกรวย,80000000,-20120001425554-,2,,3500000,,54,19/03/1469,บางกรวย-ไทรน้อย,วัดชลอ,40000000,06/08/1469,บริษัท นงนุช อินดัสเตรียล จำกัด,1,,5924,826,จ3-53(1)-14/55นบ,นนทบุรี
