แรงม้า,GPS_lng,ตำบล,ประกอบกิจการ,พื้นที่อาคาร,คนงานรวม,เลขทะเบียนเดิม,ถนน,เลขที่,คนงานชาย,จังหวัด,โทรศัพท์,อนุญาต,ลำดับ,หมู่,พื้นที่โรงงาน,ซอย,ชื่อโรงงาน,ไปรษณีย์,TSIC,คนงานหญิง,_id,เริ่มดำเนินการ,FID,อำเภอ,สิ้นอายุ,GPS_lat,เงินทุนรวม
95.75,100.379852,บางแม่นาง,การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,107,9,จ3-41(1)-18/67นบ,,เลขที่ โฉนดที่ดินเลขที่ 118629,5,นนทบุรี,02-6230603-4,2024-05-11T00:00:00,663,5,396,,บริษัท ฮีโร่ บ๊อกซ์ จำกัด,11140,17092,4,663,,-20120204925673-,บางใหญ่,,13.858521,9000000
585,100.30493,คลองขวาง,พิมพ์ลายกระดาษ พีวีซี ไอพีซี และพลาสติกเพื่อใช้ในการทำเครื่องใช้เฟอร์นิเจอร์ทุกชนิด,1750,13,จ3-41(1)-19/50นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 21/4,12,นนทบุรี,,2007-07-08T00:00:00,664,4,16000,-,บริษัท เอสเอ็นซีเซ็นเตอร์ จำกัด,11150,17092,1,664,2007-01-10T00:00:00,-20120001925504-,ไทรน้อย,2022-01-01T00:00:00,13.98228,40500000
284,100.3700833,บางใหญ่,พิมพ์สิ่งพิมพ์ต่างๆ,0,30,จ3-41(1)-23/49นบ,บางใหญ่-บางคูลัด (กันตนา),เลขที่ 41/23,15,นนทบุรี,02 9836500-3,2006-11-09T00:00:00,665,3,0,,บริษัท สยามเอเซียพริ้นท์ จำกัด,11140,17092,15,665,2006-09-10T00:00:00,-20120002325498-,บางใหญ่,2021-01-01T00:00:00,13.84111667,51000000
441.2,100.44968,บางคูเวียง,พิมพ์สิ่งพิมพ์ต่างๆ ทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,0,35,จ3-41(1)-23/52นบ,นครอินทร์,เลขที่ 18,18,นนทบุรี,,2009-11-20T00:00:00,666,1,0,วัดหูช้าง,บริษัท สยามศิลปการพิมพ์ จำกัด,11130,17092,17,666,2010-05-04T00:00:00,-20120002325522-,บางกรวย,2020-01-01T00:00:00,13.81577,30000000
240.44,100.5426741,บางเขน,พิมพ์สิ่งพิมพ์ต่างๆ เช่น หนังสือ และหนังสือพิมพ์,713,42,จ3-41(1)-25/57นบ,งามวงศ์วาน,เลขที่ 282/4,30,นนทบุรี,,2014-07-11T00:00:00,667,2,713,งามวงศ์วาน 31,บริษัท 888 อินเตอร์กรุ๊ป จำกัด,11000,17092,12,667,2015-05-11T00:00:00,-20120002525576-,เมืองนนทบุรี,2020-01-01T00:00:00,13.86308963,15000000
420,100.4520923,คลองข่อย,พิมพ์สิ่งพิมพ์ต่างๆ,490,20,จ3-41(1)-29/59นบ,,เลขที่ ,15,นนทบุรี,,2016-12-26T00:00:00,668,7,3499,ร่วมใจ,บริษัท ไทภูมิ พับลิชชิ่ง จำกัด,11130,17092,5,668,2018-09-03T00:00:00,-20120002925594-,ปากเกร็ด,2023-01-01T00:00:00,13.961749,40000000
102.84,100.43063,ลำโพ,พิมพ์สิ่งพิมพ์ต่าง ๆ เช่น หนังสือ สื่อโฆษณา เป็นต้น,535,26,จ3-41(1)-3/53นบ,กาญจนาภิเษก,เลขที่ 99/11,16,นนทบุรี,08-1614-0377,2010-02-25T00:00:00,669,7,3730,-,บริษัท เฟิสท์ ออฟเซท (1993) จำกัด,11110,17092,10,669,2015-02-20T00:00:00,-20120200325530-,บางบัวทอง,2020-01-01T00:00:00,13.9652,60000000
85.59,100.3459376,บางคูรัด,การพิมพ์ ทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือ ตกแต่งสิ่งพิมพ์,998,22,จ3-41(1)-3/58นบ,,เลขที่ 44,16,นนทบุรี,0 2159 8644,2015-02-19T00:00:00,670,6,6064,,บริษัท เต็มรักการพิมพ์ จำกัด,11110,17092,6,670,2015-04-16T00:00:00,-20120200325589-,บางบัวทอง,2020-01-01T00:00:00,13.90118518,32000000
110.2,100.2853411,ทวีวัฒนา,พิมพ์สิ่งพิมพ์ต่างๆ เช่น สติิ๊กเกอร์ ฉลากสินค้าทุกประเภท,404,10,จ3-41(1)-3/65นบ,,เลขที่ 63,6,นนทบุรี,084 5556570,2022-01-31T00:00:00,671,2,2400,,เอส.ไอ.เอ็น.อินฟอร์เมชั่น สาขา 2,11150,17092,4,671,2023-11-17T00:00:00,-20120017025653-,ไทรน้อย,2028-01-01T00:00:00,13.94085919,14500000
6725,100.3843,ละหาร,พิมพ์สิ่งพิมพ์ต่างๆ และอื่นๆ ตามหนังสือบริคณฑ์สนธิ,38065,211,จ3-41(1)-4/44นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 95,159,นนทบุรี,02-434-0111,2001-07-07T00:00:00,672,8,45568,,บริษัท ส.ศิลป(2521) จำกัด,11110,17092,52,672,2002-10-22T00:00:00,-20120100425448-,บางบัวทอง,2022-01-01T00:00:00,13.97195,434141730
133.98,100.42844,ลำโพ,พิมพ์สิ่งพิมพ์ต่างๆ เย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์ เช่น เคลือบปกหนังสือ,243,8,จ3-41(1)-4/52นบ,กาญจนาภิเษก,เลขที่ 55/65,7,นนทบุรี,02-1574131-2,2009-04-23T00:00:00,673,5,600,วัดศรีเขตนันทาราม,บริษัท ทริปเปิ้ล โค้ตติ้ง จำกัด,11110,17092,1,673,2010-11-10T00:00:00,-20120100425521-,บางบัวทอง,2020-01-01T00:00:00,13.96829,11900000
232.5,100.5609593,บ้านใหม่,พิมพ์ตำราเรียน และเอกสารต่างๆ,1200,23,จ3-41(1)-4/57นบ,ติวานนท์,เลขที่ 69/217,19,นนทบุรี,29614580,2014-03-31T00:00:00,674,1,1800,พระแม่การุณย์,บริษัท สำนักพิมพ์ เอมพันธ์ จำกัด,11120,17092,4,674,2014-04-29T00:00:00,-20120000425571-,ปากเกร็ด,2024-01-01T00:00:00,13.94874455,37600000
372,100.5589333,บ้านใหม่,พิมพ์ และผลิตบรรจุภัณ์กระดาษและสิ่งพิมพ์ต่างๆ,1180,40,จ3-41(1)-43/47นบ,ติวานนท์,เลขที่ 69/228,32,นนทบุรี,,2004-01-11T00:00:00,675,1,4800,พระแม่การุณย์,บริษัท อักษรโสภิตการพิมพ์ จำกัด,11120,17092,8,675,2010-11-15T00:00:00,-20120004325470-,ปากเกร็ด,2020-01-01T00:00:00,13.94698333,60000000
560.94,100.5585167,บ้านใหม่,ทำสิ่งพิมพ์ต่างๆ และเคลือบมันกระดาษ,2686,160,จ3-41(1)-5/44นบ,ติวานนท์,เลขที่ 19/9,102,นนทบุรี,,2001-08-24T00:00:00,676,1,0,พระแม่มหาการุณย์,บริษัท พี เอ็ม ซี การ์ดส์ (ไทยแลนด์) จำกัด,11120,17092,58,676,2002-09-25T00:00:00,-20120100525445-,ปากเกร็ด,2022-01-01T00:00:00,13.9465,81400000
157,100.4075516,บางม่วง,พิมพ์สิ่งพิมพ์ต่างๆ ทำแฟ้มเอกสาร เย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,630,23,จ3-41(1)-5/55นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 59/4,13,นนทบุรี,,2012-05-21T00:00:00,677,10,776,วัดพระเงิน,บริษัท สหมิตรพริ้นติ้งแอนด์พับลิสซิ่ง จำกัด,11140,17092,10,677,2012-11-06T00:00:00,-20120100525551-,บางใหญ่,2022-01-01T00:00:00,13.83355564,63000000
1380,100.411004,ลำโพ,ผลิตสิ่งพิมพ์บนแผ่นพลาสติก,928,18,จ3-41(1)-5/61นบ,,เลขที่ 78/9,14,นนทบุรี,02 1502963,2018-01-25T00:00:00,678,7,4000,,บริษัท วาไรตี้ แพ็ค จำกัด,11110,17092,4,678,2018-05-25T00:00:00,-20120000525610-,บางบัวทอง,2023-01-01T00:00:00,13.965645,50000000
316,100.3478667,ไทรน้อย,ตัดหรือตกแต่งกระดาษและสิ่งพิมพ์ต่างๆ,4000,50,จ3-41(1)-6/44นบ,บางกรวย-ไทรน้อย,เลขที่ 63/9,40,นนทบุรี,01-6406039,2001-10-17T00:00:00,679,1,8000,,บริษัท โทคุ จำกัด,11150,17092,10,679,2003-11-08T00:00:00,-20120100625443-,ไทรน้อย,2023-01-01T00:00:00,13.96568333,89000000
177.4,100.424,คลองข่อย,พิมพ์สิ่งพิมพ์ต่าง ๆ เช่น หนังสือ,675,23,จ3-41(1)-6/54นบ,กาญจนาภิเษก,เลขที่ 12/20,13,นนทบุรี,,2011-04-27T00:00:00,680,10,1600,,บริษัท เพอร์เฟค เพรส จำกัด,11120,17092,10,680,2012-05-10T00:00:00,-20120000625543-,ปากเกร็ด,2022-01-01T00:00:00,13.98205,30000000
210.25,100.3855201,เสาธงหิน,พิมพ์สิ่งพิมพ์ต่าง ๆ ทำแฟ้มเอกสาร เย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,0,0,จ3-41(1)-6/55นบ,,เลขที่ 36,0,นนทบุรี,,2012-05-21T00:00:00,681,8,0,,บริษัท ปัญญฉัตร์ บุ๊คส์ บายดิ้ง จำกัด,11140,17092,0,681,2015-01-06T00:00:00,-20120100625559-,บางใหญ่,2020-01-01T00:00:00,13.89529449,0
230.15,100.5313,บางเขน,พิมพ์สิ่งพิมพ์ต่างๆ และทำแผ่นป้ายโฆษณา,605,167,จ3-41(1)-7/53นบ,งามวงศ์วาน,เลขที่ 45/78,109,นนทบุรี,02-832-5800,2010-03-25T00:00:00,682,2,2616,งามวงศ์วาน 4,บริษัท คิว แอดเวอร์ไทซิ่ง จำกัด,11000,17092,58,682,2010-05-29T00:00:00,-20120100725532-,เมืองนนทบุรี,2020-01-01T00:00:00,13.85603,216000000
487.5,100.3747667,บางบัวทอง,ผลิตเคมีภัณฑ์สำหรับอุตสาหกรรมน้ำยาง,348,14,จ3-42(1)-1/46นบ,บางกรวย-ไทรน้อย,เลขที่ 75/7,9,นนทบุรี,,2003-04-29T00:00:00,683,5,774,-,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,11110,20113,5,683,2003-05-30T00:00:00,-20121400125464-,บางบัวทอง,2023-01-01T00:00:00,13.9461,19000000
78.24,,ไทรใหญ่,ผลิตและแบ่งบรรจุสารเคมีบำบัดน้ำ และเคมีอุตสาหกรรม เช่น สารพอลิอะลูมิเนียมคลอไรด์ อะลูมิเนียมซัลเฟต อะลูมิเนียมคลอโรไฮเดรต โซเดียมไบซัลไฟต์ เป็นต้น,900,20,จ3-42(1)-14/67นบ,,เลขที่ 92/10,11,นนทบุรี,086-3456679,2024-10-31T00:00:00,684,10,6400,,บริษัท ไทยคลอไรด์ แมนูแฟคเจอร์ริ่ง จำกัด,11150,20113,9,684,,-20120201625672-,ไทรน้อย,,,16000000
272.5,100.3747833,บางบัวทอง,ผลิตเคมีภัณฑ์ที่ใช้สำหรับอุตสาหกรรมยางและพลาสติก,0,15,จ3-42(1)-2/47นบ,บางกรวย-ไทรน้อย,เลขที่ 75/6,8,นนทบุรี,0-2903-6691-3,2004-06-29T00:00:00,685,5,,,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,11110,20113,7,685,2015-08-19T00:00:00,-20120300225473-,บางบัวทอง,2020-01-01T00:00:00,13.94608333,8700000
100.37,100.3682,บางม่วง,ผลิต-จำหน่ายเคมีภัณฑ์ เช่น สารลดฟอง,1000,3,จ3-42(1)-4/47นบ,กาญจนาภิเษก,เลขที่ 50/11,3,นนทบุรี,02-9836700,2004-05-18T00:00:00,686,15,7450,วัดพระเงิน,บริษัท ซินเธค แอ๊ดดิทีฟ จำกัด,11140,20113,0,686,2006-02-10T00:00:00,-20120100425471-,บางใหญ่,2021-01-01T00:00:00,13.8269,21000000
45.3,100.4071833,ละหาร,เกลือเงิน เกลือทอง โกล์ดคอมเพล็ค พาลาเดียมคอมเพล็ค,608,8,จ3-42(1)-4/49นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 333/10,5,นนทบุรี,0-2921-5881-7,2006-05-04T00:00:00,687,9,941,-,บริษัท เค.ซี.ยู.คอร์ปอเรชั่น จำกัด,11110,20113,3,687,2006-09-05T00:00:00,-20120000425498-,บางบัวทอง,2021-01-01T00:00:00,13.9523,14000000
246.5,100.4189833,บางรักพัฒนา,ผลิตสารป้องกันหรือกำจัดศัตรูพืช,2400,6,จ3-43(1)-1/44นบ,จันทร์ทองเอี่ยม,เลขที่ 73/4,4,นนทบุรี,589-8989,2001-03-28T00:00:00,688,5,2460,,บริษัท นนท์ทรีเซีย จำกัด,11110,20121,2,688,2001-04-27T00:00:00,-20120800125447-,บางบัวทอง,2021-01-01T00:00:00,13.88813333,4000000
596,100.3118667,ราษฎร์นิยม,ผลิตปุ๋ยอินทรีย์ ปุ๋ยชีวภาพ และปุ๋ยเคมีอินทรีย์,3600,52,จ3-43(1)-1/45นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 57,50,นนทบุรี,,2002-11-25T00:00:00,689,1,30400,-,บริษัท พสิษฐ์ ปุ๋ยไทยอินเตอร์ จำกัด,11150,20121,2,689,2003-03-19T00:00:00,-20120400125458-,ไทรน้อย,2023-01-01T00:00:00,14.05298333,36000000
169.2,100.3133,ราษฎร์นิยม,ผลิตปุ๋ยอินทรีย์ ปุ๋ยเคมี ปุ๋ยชีวภาพ,840,20,จ3-43(1)-1/46นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 4,15,นนทบุรี,0-1755-1928,2003-09-12T00:00:00,690,6,8088,-,บริษัท ปุ๋ยต้นโพธิ์ จำกัด,11150,20121,5,690,2004-07-19T00:00:00,-20121500125463-,ไทรน้อย,2024-01-01T00:00:00,14.06581667,9500000
85,,ไทรใหญ่,ผลิต และแบ่งบรรจุปุ๋ยเคมี ผลิตโดยการแบ่งบรรจุสารป้องกัน กำจัดศัตรูพืชหรือสัตว์ ผลิตภัณฑ์เคมีเกษตร,885,13,จ3-43(1)-12/65นบ,,เลขที่ โฉนดเลขที่ 59782,8,นนทบุรี,,2022-10-08T00:00:00,691,1,1602,,-,11150,20121,5,691,,-20120135025650-,ไทรน้อย,,,4000000
85,,ไทรใหญ่,ผลิต และแบ่งบรรจุปุ๋ยเคมี ผลิตโดยการแบ่งบรรจุสารป้องกัน กำจัดศัตรูพืชหรือสัตว์ ผลิตภัณฑ์เคมีเกษตร,486,13,จ3-43(1)-13/65นบ,,เลขที่ โฉนดเลขที่ 59782,8,นนทบุรี,,2022-10-08T00:00:00,692,1,1354,,ราชสีห์ เฟอร์ติไลเซอร์,11150,20121,5,692,,-20120135125658-,ไทรน้อย,,,4000000
84.3,,ไทรใหญ่,ผลิตและแบ่งบรรจุสารป้องกันหรือกำจัดวัชพืชและศัตรูพืช,1000,13,จ3-43(1)-14/66นบ,บางเลน-ปทุมธานี,เลขที่ 58-59,9,นนทบุรี,,2023-12-10T00:00:00,693,9,6400,วัดสโมสร,บริษัท บีเอ็มจี อโกรเทค จำกัด,11150,20121,4,693,,-20120173025661-,ไทรน้อย,,,31000000
75.5,100.5527,บ้านใหม่,เกี่ยวกับปุ๋ยและสารกำจัดศัตรูพืช,1814,20,จ3-43(1)-15/52นบ,ติวานนท์,เลขที่ 72/79,13,นนทบุรี,0-2582-0582,2009-01-28T00:00:00,694,1,1814,พระแม่มหาการุณ,บริษัท ซิตโต้ (ประเทศไทย) จำกัด,11120,20121,7,694,2009-02-25T00:00:00,-20120101525527-,ปากเกร็ด,2024-01-01T00:00:00,13.94666,245000000
804,100.28715,ขุนศรี,"ผลิตปุ๋ยอินทรีย์,ปุ๋ยชีวภาพ และปุ๋ยเคมีอินทรีย์",4000,71,จ3-43(1)-2/42นบ,ลาดหลุมแก้ว-บางเลน,เลขที่ 17/2,38,นนทบุรี,-,1999-01-11T00:00:00,695,2,17600,-,บริษัท ศักดิ์สยาม อินเตอร์เนชั่นแนล จำกัด,11150,20121,33,695,2000-03-21T00:00:00,-20120100225426-,ไทรน้อย,2020-01-01T00:00:00,14.0241,119613762
57.75,100.5169667,บางพูด,ผลิตปุ๋ยอินทรีย์และสารปรับปรุงคุณภาพดิน,667,10,จ3-43(1)-28/55นบ,ติวานนท์,เลขที่ 11/2,10,นนทบุรี,02-5837866,2012-05-21T00:00:00,696,9,667,,ห้างหุ้นส่วนจำกัด โรงเลื่อยจักรไท้เฮงเสง,11120,20121,0,696,2012-11-06T00:00:00,-20120002825554-,ปากเกร็ด,2022-01-01T00:00:00,13.91856667,1000000
308.6,100.3239,คลองขวาง,ผลิตปุ๋ยเคมี ปุ๋ยอินทรีย์ชีวภาพ ปุ๋ยเคมี-อินทรีย์,6000,70,จ3-43(1)-31/47นบ,ปทุมธานี-บางเลน,เลขที่ 58,50,นนทบุรี,,2004-12-07T00:00:00,697,4,23660,,บริษัท ไทย ฟาร์เมอร์ ซัสเซส จำกัด,11150,20121,20,697,2005-04-04T00:00:00,-20120003125475-,ไทรน้อย,2020-01-01T00:00:00,14.03175,23000000
377.03,100.4786879,บางตะไนย์,ผลิตปุ๋ยอินทรีย์ สารป้องกันหรือกำจัดศัตรูพืช ยารักษาสัตว์,770,8,จ3-43(1)-33/64นบ,,เลขที่ 88/45,4,นนทบุรี,,2021-09-30T00:00:00,698,1,770,,บริษัท โมริน่า โซลูชั่นส์ จำกัด,11120,20121,4,698,2023-02-06T00:00:00,-20120442125649-,ปากเกร็ด,2028-01-01T00:00:00,13.95589384,36500000
85,100.287335,ไทรใหญ่,ผสม และแบ่งบรรจุปุ๋ย อาหารเสริมพืชผสม และแบ่งบรรจุสารป้องกัน หรือกำจัดศัตรูพืช,1728,37,จ3-43(1)-34/64นบ,,เลขที่ 99/1,18,นนทบุรี,29617055,2021-09-30T00:00:00,699,10,6400,,บริษัท เอสทีม อินเตอร์เทรด จำกัด,11150,20121,19,699,2023-08-12T00:00:00,-20120443225646-,ไทรน้อย,2028-01-01T00:00:00,14.059818,123000000
61,100.287112,ไทรใหญ่,"เก็บรักษาผสม แบ่งบรรจุปุ๋ย อาหารเสริมพืช เก็บรักษา และแบ่งบรรจุสารป้องกันหรือกำจัด
ศัตรูพืช
พืช",3456,27,จ3-43(1)-39/56นบ,ทางหลวงชนบทสาย นบ 3011,เลขที่ 99,15,นนทบุรี,,2013-11-06T00:00:00,700,10,19616,,บริษัท เอสทีม อินเตอร์เทรด จำกัด,11150,20121,12,700,2014-08-29T00:00:00,-20120003925569-,ไทรน้อย,2024-01-01T00:00:00,14.05996,73000000
105.36,100.2898867,ขุนศรี,ผลิตปุ๋ยน้ำชีวภาพ อาหารเสริมสำหรับสัตว์,1849,41,จ3-43(1)-5/63นบ,,เลขที่ 98,19,นนทบุรี,243266114,2020-02-17T00:00:00,701,4,2300,,บริษัท ธัญชาติ แอ๊ดวานซ์ อะโกร จำกัด,11150,20121,22,701,,-20120030525630-,ไทรน้อย,,14.03116173,85000000
81.68,100.43024,ลำโพ,ผลิต ผสม แบ่งบรรจุปุ๋ย และสารป้องกันหรือกำจัดศัตรูพืช,1080,9,จ3-43(1)-55/52นบ,ทางหลวงสาย 345,เลขที่ 55/27,6,นนทบุรี,02-9183488,2009-05-21T00:00:00,702,3,1196,-,บริษัท เวท อะกริเทค จำกัด,11110,20121,3,702,2012-07-12T00:00:00,-20120005525524-,บางบัวทอง,2022-01-01T00:00:00,13.95563,12697400
105.33,100.290065,ขุนศรี,ผลิตปุ๋ยชีวภาพ อาหารเสริมสำหรับพืช,1585,100,จ3-43(1)-6/64นบ,,เลขที่ 96,70,นนทบุรี,,2021-02-04T00:00:00,703,4,2300,,บริษัท ชัฐธรัฎฐ์ จำกัด,11150,20121,30,703,,-20120257025645-,ไทรน้อย,,14.032394,85000000
105.33,100.2899477,ขุนศรี,ผลิตปุ๋ยชีวภาพ อาหารเสริมสำหรับพืช,2300,100,จ3-43(1)-7/64นบ,,เลขที่ 95,70,นนทบุรี,243266114,2021-02-04T00:00:00,704,4,2300,,บริษัท บูลทรีเม็กซ์ จำกัด,11150,20121,30,704,,-20120257225641-,ไทรน้อย,,14.03173205,85000000
270.25,,ราษฎร์นิยม,ผลิตและแบ่งบรรจุปุ๋ย สารป้องกันหรือกำจัดวัชพืชและศัตรูพืช,978,9,จ3-43(1)-8/66นบ,,เลขที่ โฉนดที่ดินเลขที่ 60785,5,นนทบุรี,,2023-07-24T00:00:00,705,1,3200,,บริษัท ที-สตาร์ อะกริคัลเจอร์ จำกัด,11150,20121,4,705,2024-04-07T00:00:00,-20120116925662-,ไทรน้อย,2029-01-01T00:00:00,,13000000
85.05,100.291432,ไทรใหญ่,ผลิตปุ๋ยเคมีน้ำ,864,17,จ3-43(1)-9/61นบ,,"เลขที่ โฉนดเลขที่ 671,681",13,นนทบุรี,,2018-04-06T00:00:00,706,9,9400,,บริษัท กรีนเทค อโกร จำกัด,10230,20121,4,706,,-20120000925612-,ไทรน้อย,,14.04659601,58000000
68.1,100.3092159,ราษฎร์นิยม,แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืชหรือสัตว์,540,8,จ3-43(2)-1/61นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ -,8,นนทบุรี,,2018-07-24T00:00:00,707,1,805,,บริษัท อาดามัส เคม จำกัด,10120,20210,0,707,2020-08-14T00:00:00,-20120000125619-,ไทรน้อย,,14.05155769,7000000
92.5,,ไทรใหญ่,แบ่งบรรจุ และผลิตปุ๋ยหรือสารป้องกันศัตรูพืชหรือสัตว์,952,15,จ3-43(2)-1/67นบ,,เลขที่ 11/2,15,นนทบุรี,948733999,2024-10-07T00:00:00,708,1,6400,,บริษัท เอ็กซ์เปอร์ท เพสท์ ซิสเต็ม จำกัด,11150,20210,0,708,,-20120117725673-,ไทรน้อย,,,27000000
128.48,100.3090915,ราษฎร์นิยม,แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช และผลิตสารป้องกันและกำจัดศัตรูพืช,540,11,จ3-43(2)-10/54นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 57/3,11,นนทบุรี,,2011-04-25T00:00:00,709,1,805,,บริษัท เคที อีเทอร์นอล จำกัด,11150,20210,0,709,2013-12-06T00:00:00,-20120101025544-,ไทรน้อย,2023-01-01T00:00:00,14.05166988,7800000
75.48,100.3088316,ราษฎร์นิยม,แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,540,9,จ3-43(2)-11/54นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 57/1,9,นนทบุรี,0-2286-2400,2011-04-25T00:00:00,710,1,805,,บริษัท เอส แอนด์ พี โอเมก้า จำกัด,11150,20210,0,710,2013-12-06T00:00:00,-20120101125542-,ไทรน้อย,2023-01-01T00:00:00,14.05173484,7000000
73.48,100.277779,ไทรใหญ่,แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,1200,9,จ3-43(2)-17/54นบ,ปทุมธานี-บางเลน,เลขที่ 8/9,9,นนทบุรี,0-2897-2898,2011-11-23T00:00:00,711,10,9416,วัดสโมสร,ห้างหุ้นส่วนจำกัด สตาร์ โกร การเกษตร,11150,20210,0,711,2013-06-14T00:00:00,-20120001725540-,ไทรน้อย,2023-01-01T00:00:00,14.06998,15000000
68.096,100.3092159,ราษฎร์นิยม,เก็บรักษาหรือแบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืชหรือสัตว์,540,8,จ3-43(2)-2/61นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ -,8,นนทบุรี,,2018-07-24T00:00:00,712,1,805,,บริษัท อัลตร้า แฟค จำกัด,10120,20210,0,712,2020-08-14T00:00:00,-20120100225616-,ไทรน้อย,,14.05155769,7000000
75.48,100.3093085,ราษฎร์นิยม,แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,540,9,จ3-43(2)-6/54นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 57/5,9,นนทบุรี,,2011-04-25T00:00:00,713,1,805,,บริษัท ซีบรา แฟคทอรี่ จำกัด,11150,20210,0,713,2013-11-06T00:00:00,-20120100625542-,ไทรน้อย,2023-01-01T00:00:00,14.05174099,7000000
75.48,100.3091254,ราษฎร์นิยม,แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,540,9,จ3-43(2)-7/54นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 57/4,9,นนทบุรี,0-2286-2400,2011-04-25T00:00:00,714,1,805,,บริษัท พาเรโต อโกร จำกัด,11150,20210,0,714,2013-12-06T00:00:00,-20120100725540-,ไทรน้อย,2023-01-01T00:00:00,14.05134805,7000000
75.48,100.308848,ราษฎร์นิยม,แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,540,9,จ3-43(2)-8/54นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 57/2,9,นนทบุรี,,2011-04-25T00:00:00,715,1,805,,บริษัท นน อโกรเทค จำกัด,11150,20210,0,715,2013-12-06T00:00:00,-20120000825549-,ไทรน้อย,2023-01-01T00:00:00,14.051347,7000000
75.48,100.3093489,ราษฎร์นิยม,แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,540,9,จ3-43(2)-9/54นบ,ไทรน้อย-ลาดบัวหลวง,เลขที่ 57/6,9,นนทบุรี,02-2862400,2011-04-25T00:00:00,716,1,805,,บริษัท เกียรติตง จำกัด,11150,20210,0,716,2013-12-06T00:00:00,-20120000925547-,ไทรน้อย,2023-01-01T00:00:00,14.05136318,7000000
224.57,100.3321667,ราษฎร์นิยม,ผลิตฟองน้ำ,4908,38,จ3-44-1/36นบ,ร.พ.ช.,เลขที่ 18/1-4,22,นนทบุรี,02-9223881-3,1993-08-25T00:00:00,717,3,51200,,บริษัท ซิตี้โฟม จำกัด,11150,20131,16,717,1993-11-30T00:00:00,-20120500125366-,ไทรน้อย,2023-01-01T00:00:00,14.11781667,45000000
271.5,100.40655,ละหาร,ผลิตและผสมสีน้ำ,864,60,จ3-45(1)-1/51นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 333/2,48,นนทบุรี,02-6186671-2,2008-01-17T00:00:00,718,9,1485,-,บริษัท เอคโค โคท จำกัด,11110,20221,12,718,2008-02-15T00:00:00,-20120000125510-,บางบัวทอง,2023-01-01T00:00:00,13.95176,18118750
497.75,100.40595,ละหาร,ผลิตและผสมสีน้ำ,864,33,จ3-45(1)-12/50นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 333/40,23,นนทบุรี,0-2726-5077-8,2007-01-10T00:00:00,719,9,1485,-,บริษัท โรเธนเบิร์ก เอฟ เอ อาร์ จำกัด,11110,20221,10,719,2008-01-22T00:00:00,-20120001225509-,บางบัวทอง,2023-01-01T00:00:00,13.95116,59549760
130,100.3925833,ละหาร,ผลิตสีน้ำ และสีน้ำมัน,642,5,จ3-45(1)-15/47นบ,ตลิ่งชัน-สุพรรณบุรี,เลขที่ 30/6,5,นนทบุรี,,2004-03-09T00:00:00,720,8,642,สุเหร่าเขียว,บริษัท เคมเทคเพ้นท์ อินดัสทรี จำกัด,11110,20221,0,720,2005-02-21T00:00:00,-20120101525477-,บางบัวทอง,2020-01-01T00:00:00,13.97035,2000000
99.84,100.4149667,ละหาร,ผลิตสีน้ำมัน,375,5,จ3-45(1)-2/35นบ,บางบัวทอง-สุพรรณบุรี,เลขที่ 94/4,5,นนทบุรี,,1993-07-19T00:00:00,721,7,6440,,,11110,20221,0,721,1992-09-15T00:00:00,-20120000225351-,บางบัวทอง,2022-01-01T00:00:00,13.94413333,18100000
