ถนน,เลขที่,ซอย,ประเภท,เงินทุน,แรงม้า,_id,คนงาน,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,โทรศัพท์,ไปรษณีย์,ตำบล,อำเภอ,จังหวัด,หมู่
,เลขที่ 66,,105,"10,700,000",168,1036,15,จ3-105-200/50อย,1036,บริษัท ลิ้ม อิม หลี (2550) จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย อัดเศษโลหะ อัดเศษกระดาษ และบดพลาสติก,,13150,บ้านใหม่,มหาราช,พระนครศรีอยุธยา,3
-,เลขที่,-,105,"312,000",0,1037,8,จ3-105-86/51อท,1037,,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายตามท้ายประกาศกระทรวงอุตสาหกรรม,,14000,จำปาหล่อ,เมืองอ่างทอง,อ่างทอง,7
-,เลขที่ 88/8,-,106,"12,000,000","1,057.30",1038,10,3-106-25/56ฉช,1038,บริษัท อี้ ฮุย (ประเทศไทย) จำกัด,หลอมหล่อเศษและตะกรันโลหะจำพวกสังกะสีและทองเหลืองที่ไม่เป็นของเสียอันตราย,,24190,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,11
,เลขที่ 41,,105,"750,000",222,1039,3,3-105-27/60อท,1039,ถุงเงินรับซื้อของเก่า,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,14000,โพสะ,เมืองอ่างทอง,อ่างทอง,7
-,เลขที่ 88/9,,106,"13,000,000",591,1040,15,3-106-25/58ฉช,1040,บริษัท หย่งถัง ไทย จำกัด,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็คทรอนิกส์ และหล่อหลอมโลหะทั่วไป เช่น เศษทองแดง เศษทองเหลือง และกากตะกอนทองแดง,,24190,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,11
,เลขที่,,105,"700,000",40,1041,8,จ3-105-118/51อท,1041,นายสุเทพ บุญสร้างสม,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ได้ใช้แล้ว ที่ไม่เป็นของเสียอันตรายเช่น เศษพลาสติก เศษกระดาษ เศษยาง เศษโลหะต่าง ๆ ฯลฯ,,14000,โพสะ,เมืองอ่างทอง,อ่างทอง,2
ทางหลวงชนบท ฉช 6015,เลขที่ 707,-,106,"30,000,000","1,075.76",1042,25,3-106-26/49ฉช,1042,บริษัท เอส.พี.รีไฟน์เนอรี่ จำกัด,ผลิตน้ำมันเชื้อเพลิงสังเคราะห์จากยางรถยนต์ที่ผ่านการใช้งานแล้ว,,24190,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,9
,เลขที่ 2/7,,105,"3,200,000",200,1043,20,3-105-2/59อท,1043,บริษัท บัวทรัพย์ไชโย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,081-6152351,14140,จรเข้ร้อง,ไชโย,อ่างทอง,5
-,เลขที่ 777,-,106,"15,000,000",932.34,1044,144,3-106-26/52ฉช,1044,บริษัท บางกอก ไทร์ รีไฟเนอรี่ จำกัด,ผลิตน้ำมันเชื้อเพลิงจากยางรถยนต์ที่ใช้แล้ว หรือพลาสติกที่ใช้แล้ว,,24190,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,9
,เลขที่ 82/8,,105,"900,000",500,1045,5,3-105-21/59อท,1045,บริษัท ไอลดา กรุ๊ป 2015 จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,0816152351,14140,จรเข้ร้อง,ไชโย,อ่างทอง,6
-,เลขที่ 25/8,-,106,"5,200,000",82,1046,7,3-106-33/49ฉช,1046,ห้างหุ้นส่วนจำกัด นัฐวุฒิ พาณิชย์,หล่อหลอมของเสียจากโรงงานมาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่ เช่น สังกะสี ทองเหลือง,,24190,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,9
,เลขที่ 86,,105,"22,000,000",570,1047,59,จ3-105-59/52อท,1047,บริษัท ทวีทรัพย์ (จิวแจ๊ะเฮง) จำกัด,คัดแยกสิ่งปฎิกูลหรือวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย อัดเศษกระดาษ อัดเศษโลหะ บดย่อยพลาสติกและทำผลิตภัณฑ์จากวัสดุเหลือใช้ เช่น เศษแก้ว,,14140,จรเข้ร้อง,ไชโย,อ่างทอง,4
นิคมอุตสาหกรรม-หนองสถิตย์,เลขที่ 111/9,-,106,"5,000,000",369,1048,22,3-106-34/53ฉช,1048,บริษัท เรืองโรจน์ พี.สตีล จำกัด,นำทรายจากแกนและแบบหล่อ ผงเหล็กยิงทราย สเกลเหล็ก ตะกรันเหล็ก (slag) ฝุ่นจากเตาหลอมโลหะ เถ้าหนัก ตะกรันและฝุ่นจากหม้อไอน้ำ ที่ไม่เป็นของเสียอันตรายมาผลิตวัสดุภัณฑ์ในการก่อสร้าง,,24190,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,11
,เลขที่ 42/1,,105,"212,000",10,1049,7,จ3-105-160/50อท,1049,กันตา ทองประดิษฐ,คัดแยกวัสดุที่ไม่ใช้แล้วท่ไม่เป็นของเสียอันตราย,,14120,บางพลับ,โพธิ์ทอง,อ่างทอง,4
สาย 304,เลขที่ -,-,106,"1,000,000",27,1050,5,3-106-46/51ฉช,1050,ร้านมิตรเจริญของเก่า,ซ่อมและล้างบรรจุภัณฑ์,,24190,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,9
,เลขที่ 55,,105,"150,000",10,1051,12,จ3-105-186/50อท,1051,นายปัญญา โสภี,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,14120,ยางช้าย,โพธิ์ทอง,อ่างทอง,9
หนองครก,เลขที่ น.ส.3ก. เลขที่ 1735,,106,"195,000,000","7,803.00",1052,36,3-106-100/60ฉช,1052,บริษัท เอส.พี.รีไฟน์เนอรี่ จำกัด,นำน้ำมันเครื่องที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อผลิตเป็นน้ำมันพื้นฐาน น้ำมันหนักและน้ำมันทดแทน,09 6296 9601,24190,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,9
,เลขที่,,105,"7,000,000",490,1053,20,จ3-105-107/51อท,1053,นางสาวประภาวรรณ ธีรภาพวิเศษพงษ์,คัดแยกสิ่งปฎิกูลหรือวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษพลาสติก เศษกระดาษ เศษยาง เศษโลหะต่าง ๆ ฯลฯ,,14120,บ่อแร่,โพธิ์ทอง,อ่างทอง,4
-,เลขที่ -,-,106,"22,000,000",60,1054,8,น.106-1/2560-นกว.,1054,บริษัท อีโคเทค ไลฟ์ไซเคิล แมนเนจเม้นท์ จำกัด,แปรรูปวัสดุเหลือใช้(รีไซเคิล)ประเภทพลาสติกและโลหะทุกชนิด,,24190,หัวสำโรง,แปลงยาว,ฉะเชิงเทรา,
,เลขที่,,105,"220,000",21,1055,5,จ3-105-149/50อท,1055,เอส.ที.พี.เอ็นจิเนียริ่ง,คัดแยกสิ่งปฎิกูลหรือวัสดุที่ไม่ใช้แล้ว ไม่เป็นของเสียอันตราย เช่น เศษโลหะต่าง ๆ เศษกระดาษ เศษพลาสติก ที่ไม่มีการปนเปื้อน เพื่อจำหน่าย,,14110,ศาลเจ้าโรงทอง,วิเศษชัยชาญ,อ่างทอง,4
-,เลขที่ 106,,106,"18,450,000",598,1056,15,3-106-6/60ปจ,1056,บริษัท เอนเนอร์จี รีพับบลิค จำกัด,การผลิตเชื้อเพลิงทดแทนจากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,25000,โนนห้อม,เมืองปราจีนบุรี,ปราจีนบุรี,10
-,เลขที่ 205,-,106,"45,407,500",500,1057,27,3-106-24/56ปจ,1057,บริษัท จีเอ็มไบโอเทค (กบินทร์บุรี) จำกัด,ทำสารปรับปรุงดินจากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายจากอุตสาหกรรมอาหาร ทำวัสดุภัณฑ์ในการก่อสร้าง เช่น เสาปูน ท่อน้ำ อิฐบล็อก จากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทรายหล่อแบบ ไส้ทราย,,25110,กบินทร์,กบินทร์บุรี,ปราจีนบุรี,10
-,เลขที่ -,-,105,"2,500,000",85,1058,10,3-105-45/48อท,1058,ห้างหุ้นส่วนจำกัด อ่างทองรีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,,14110,ม่วงเตี้ย,วิเศษชัยชาญ,อ่างทอง,11
,เลขที่ 284,โรงปูน,105,"795,000",2,1059,8,จ3-105-191/50ลบ,1059,นางทัศนี วังเจริญ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ได้แก่ การคัดแยกพลาสติกกระดาษ,,15210,โคกตูม,เมืองลพบุรี,ลพบุรี,2
,เลขที่ โฉนดที่ดินเลขที่ 64678,,106,"7,500,000",194,1060,20,3-106-3/61ปจ,1060,บริษัท ล้อทองคำ เวสต์ จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นและตัวทำละลายที่ใช้แล้ว ทำเชื้อเพลิงผสมชนิดแข็ง (Solid Blending) ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย ทำสีกันสนิมเกรดบี ทำปุ๋ยจากตะกอนชีวภาพ ทำวัสดุภัณฑ์ในการก่อสร้างจากของเสียที่ไม่เป็นอันตราย ทำน้ำยาล้างพื้น ล้างรถ,,25110,วังตะเคียน,กบินทร์บุรี,ปราจีนบุรี,4
-,เลขที่ 20/1-3,-,105,"23,000,000",50,1061,18,3-105-150/48ลบ,1061,บริษัท เกรียงไกรกุล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น กระดาษ พลาสติก เหล็ก,,15000,นิคมสร้างตนเอง,เมืองลพบุรี,ลพบุรี,3
-,เลขที่ 151,-,106,"1,150,000",116.4,1062,10,3-106-8/53ปจ,1062,บริษัท จีเอ็ม ไบโอเทค จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่น และตัวทำละลายที่ใช้แล้ว ซ่อมและล้างบรรจุภัณฑ์ ทำสารปรับปรุงดินจากกากอาหาร มูลสัตว์ และกากตะกอนระบบบำบัดน้ำเสียที่ไม่เป็นของเสียอันตราย ทำน้ำมันไบโอดีเซลจากน้ำมันพืชและน้ำมันสัตว์ที่ใช้แล้ว,,25110,หาดนางแก้ว,กบินทร์บุรี,ปราจีนบุรี,7
,เลขที่ โฉนดที่ดินเลขที่ 3515,,105,"1,384,000",0,1063,7,3-105-29/57ลบ,1063,บริษัท โยโกชิโระ จำกัด,คัดแยกโลหะ,,15000,บางขันหมาก,เมืองลพบุรี,ลพบุรี,4
-,เลขที่ 228,-,106,"1,565,000",56.5,1064,10,3-106-70/53ปจ,1064,บริษัท เอส.ที.พี.บราเดอร์ส กรุ๊ป จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้วมาผลิตเป็นเชื้อเพลิงทดแทน น้ำมันทาแบบ,0814670531,25110,หาดนางแก้ว,กบินทร์บุรี,ปราจีนบุรี,5
,เลขที่ 110/3,14,105,"300,000",2,1065,8,จ3-105-202/50ลบ,1065,ชัยเฮงหลีรีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้ว เช่น เศษโลหะ กระดาษ พลาสติก เป็นต้น,,15220,ดีลัง,พัฒนานิคม,ลพบุรี,1
-,เลขที่ 226,-,106,"4,000,000",154,1066,12,3-106-12/58ปจ,1066,ห้างหุ้นส่วนจำกัด สหนคร 304,นำวัสดุที่ไม่ใช้แล้ว ได้แก่ เถ้าลอยที่ไม่เป็นของเสียอันตรายมาผลิตเป็นอิฐมวลเบา/อิฐบล็อก ผนังมวลเบาและวัสดุแทนซีเมนต์ในงานคอนกรีต,,25110,ลาดตะเคียน,กบินทร์บุรี,ปราจีนบุรี,1
,เลขที่ 42,,105,"11,026,000",270,1067,18,จ3-105-77/53ลบ,1067,ขวดไทย,คัดแยกวัสดุที่ไม่ใช้แล้ว อัดเศษกระดาษ ย่อยขวดพลาสติก,,15120,วังเพลิง,โคกสำโรง,ลพบุรี,12
-,เลขที่ 230,-,106,"15,000,000",192.59,1068,7,3-106-26/59ปจ,1068,บริษัท อีบีพี เมทอล 2014 จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันที่ใช้แล้ว ตัวทำละลายที่ใช้แล้วและน้ำมันปนเปื้อนน้ำสกัดโลหะมีค่าจากน้ำยาชุบโลหะ อบกากตะกอนที่มีโลหะมีค่าจากอุตสาหกรรมชุบโลหะและอุตสาหกรรมอิเล็กทรอนิกส์ บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์,,25110,ลาดตะเคียน,กบินทร์บุรี,ปราจีนบุรี,1
-,เลขที่ 169,-,105,"28,000,000",210,1069,105,3-105-30/53ลบ,1069,บริษัท โษ มงคลพัฒนา จำกัด,คัดแยกและฝังกลบสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,15120,ดงมะรุม,โคกสำโรง,ลพบุรี,7
-,เลขที่ โฉนดที่ดินเลขที่ 18778,-,106,"39,000,000",461,1070,12,3-106-46/60ปจ,1070,บริษัท เวสต์ 2 เอ็นเนอร์ยี่ จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้ว หรือสารทำละลายมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อผลิตเป็นเชื้อเพลิงทดแทน และทำเชื้อเพลิงผสม ทำน้ำมันทาแบบ สีกันสนิม ซ่อมและล้างบรรจุภัณฑ์ บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ ทำอิฐบล็อก อิฐตัวหนอน จากสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,25110,ลาดตะเคียน,กบินทร์บุรี,ปราจีนบุรี,7
-,เลขที่ โฉนดที่ดินเลขที่ 31498,-,106,"7,000,000",214.6,1071,6,3-106-8/55ปจ,1071,บริษัท บีจีเอ็ม เม็ททัล จำกัด,หลอมหล่อเศษและตะกรันโลหะ ได้แก่ ทองเหลือง ทองแดง ดีบุก,,25110,หนองกี่,กบินทร์บุรี,ปราจีนบุรี,9
-,เลขที่ 59,-,105,"14,000,000",255,1072,10,3-105-175/48ลบ,1072,บริษัท สิงห์เมือง อินเตอร์เทรด จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) เช่น กระดาษ พลาสติก เหล็ก,,15120,วังขอนขว้าง,โคกสำโรง,ลพบุรี,4
,เลขที่ โฉนดที่ดินเลขที่ 16950,,105,"500,000",0,1073,7,3-105-108/60ลบ,1073,ทองพรหมการค้า,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,15230,ม่วงค่อม,ชัยบาดาล,ลพบุรี,9
-,เลขที่ น.ส.3ก.เลขที่ 997,-,106,"11,800,000",274.5,1074,10,3-106-34/59ปจ,1074,บริษัท เอเซีย กรีน รีสแครป จำกัด,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์,,25110,นาแขม,กบินทร์บุรี,ปราจีนบุรี,6
สายเอเซีย,เลขที่ 182,-,105,"2,520,000",228,1075,6,3-105-38/49ลบ,1075,คณะบุคคลสหะกิจ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ทำเม็ดพลาสติกเกรด บี,,15150,บางงา,ท่าวุ้ง,ลพบุรี,7
,เลขที่,,106,"1,294,200,000","6,405.60",1076,270,3-106-1/45ปจ,1076,บริษัท เทคโนโลยี่ เอ็นไวรอนเมนทอล เมเนจเม้นต์ จำกัด,"กำจัดและบำบัดขยะและของเสียจากชุมชน,นำขยะและของเสียจากชุมชนกลับมาใช้ประโยชน์",,25110,เขาไม้แก้ว,กบินทร์บุรี,ปราจีนบุรี,"1,1"
-,เลขที่ 30,-,105,"1,105,000",1,1077,7,จ3-105-102/52ลบ,1077,แสงดาวคัดแยกและรีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วจากโรงงาน,,15110,บางกะพี้,บ้านหมี่,ลพบุรี,1
ร.พ.ช.บ้านระเบอะไผ่,"เลขที่ โฉนดที่ 14177, น.ส.3ก. เลขที่ 2129",-,106,"95,000,000","3,132.50",1078,60,3-106-14/59ปจ,1078,บริษัท ซิน ซิน เมทัลส์ จำกัด,บดย่อยแผงวงจรอิเล็กทรอนิกส์ หลอมหล่อตะกรันทองแดง,,25140,ศรีมหาโพธิ,ศรีมหาโพธิ,ปราจีนบุรี,
,เลขที่ โฉนดที่ดินเลขที่ 14371,,106,"83,000,000",876.59,1079,30,3-106-35/61ปจ,1079,บริษัท ที แอนด์ ที เวสท์ แมเนจเม้นท์ 2017 จำกัด,ทำเชื้อเพลิงทดแทน สกัดโลหะมีค่าจากน้ำยาชุบโลหะ อบกากตะกอนที่มีโลหะมีค่า บดย่อยชิ้นส่วนอุปกรณ์เครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์ นำกรดและด่างที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อนำกลับมาใช้ประโยชน์ใหม่ ทำเชื้อเพลิงผสม ซ่อมและล้างบรรจุภัณฑ์ หลอมหล่อทองแดงจากกากตะกอนของเสียที่มีทองแดงเป็นส่วนประกอบ คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,25140,ศรีมหาโพธิ,ศรีมหาโพธิ,ปราจีนบุรี,10
-,เลขที่ 6/1,-,105,"3,400,000",30,1080,8,จ3-105-58/52สห,1080,ห้างหุ้นส่วนจำกัด พันกรวัฒนกิจ,คัดแยกสิ่งปฏิกูลหรือวัสดุไม่ใช้แล้วที่ไม่เป็นอันตรายและบดย่อยพลาสติก,,16000,โพกรวม,เมืองสิงห์บุรี,สิงห์บุรี,2
-,เลขที่ 17/1,-,105,"500,000",0,1081,8,3-105-70/49สห,1081,เชยสาครพาณิชย์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษกระดาษ เศษพลาสติก เศษโลหะ,089-4090905,16000,ต้นโพธิ์,เมืองสิงห์บุรี,สิงห์บุรี,9
ทางหลวงหมายเลข 3079,เลขที่ 18/3,-,106,"5,000,000",300,1082,18,3-106-40/48ปจ,1082,บริษัท สามเอ็น คอร์ป (ประเทศไทย) จำกัด,นำน้ำมันหล่อลื่น ตัวทำละลายที่ใช้แล้วมาผลิตเป็นเชื้อเพลิงทดแทน เคมีภัณฑ์ที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อนำกลับมาใช้ประโยชน์ใหม่ ซ่อมและล้างถังด้วยตัวทำละลาย นำสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว จากโรงงานอุตสาหกรรมมาผลิตเป็นอิฐบล็อก อิฐปูพื้น ซ่อมแซม ดัดแปลง ปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ นำเศษผ้าปนเปื้อนกากตะกอนน้ำมัน และดินปนเปื้อนน้ำมันมาทำเชื้อเพลิงผสม (BLENDING),,25140,ศรีมหาโพธิ,ศรีมหาโพธิ,ปราจีนบุรี,9
สายเอเซีย,เลขที่ 161,,105,"16,000,000",139,1083,6,3-105-38/59สห,1083,สหะกิจรีไซเคิ้ล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,081-5448044,16120,บ้านหม้อ,พรหมบุรี,สิงห์บุรี,6
-,เลขที่ 165,-,106,"11,300,000",247.4,1084,18,3-106-1/46ปจ,1084,บริษัท อีสท์ ทูเก็ทเธอ อินดัสเทรียล จำกัด,การปรับสภาพสารตัวทำละลายและน้ำมันที่ใช้แล้ว เช่น น้ำมันเคลือบเส้นด้าย น้ำมันไฮดรอลิค ฯลฯ,01-2985119,25140,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,3
,เลขที่ 12/1,,105,"1,800,000",22,1085,9,3-105-18/59สห,1085,ขวัญดาวพลาสติก,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,08335521886,16110,งิ้วราย,อินทร์บุรี,สิงห์บุรี,5
3079,เลขที่ 1,-,106,"35,000,000",226.2,1086,12,3-106-4/56ปจ,1086,บริษัท ดั๊บเบิ้ล เอ (1991) จำกัด (มหาชน),ปรับปรุงคุณภาพน้ำมันที่ไช้แล้วเพื่อใช้เป็นเชื้อเพลิงทดแทน,037208800ต่อ6226,25140,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,2
-,เลขที่ 108,-,105,"5,200,000",245,1087,40,3-105-24/54สห,1087,บริษัท เจ.เอส.อินเตอร์เนชั่นแนล พลาสติก จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก พลาสติกเคลือบผิวโลหะและอัดเศษกระดาษ,,16110,ทองเอน,อินทร์บุรี,สิงห์บุรี,9
-,เลขที่ 78,-,106,"17,315,892",333.09,1088,9,3-106-4/59ปจ,1088,บริษัท อี 85 จำกัด,นำกากตะกอนจากระบบบำบัดน้ำเสียมาผลิตเป็นสารปรับปรุงดิน,,25140,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,4
,เลขที่ 11/1,,105,"19,000,000",299,1089,37,3-105-55/59สห,1089,บริษัท เจ.เอส.อินเตอร์เนชั่นแนล พลาสติก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,16110,ทองเอน,อินทร์บุรี,สิงห์บุรี,9
-,เลขที่ 252,-,106,"15,020,000","1,489.48",1090,34,3-106-12/47ปจ,1090,บริษัท อาร์.ดี.แหล่ง กรีน เคมี จำกัด,นำตัวทำละลายและน้ำมันใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรม เพื่อนำกลับมาใช้ประโยชน์ใหม่ ซ่อมและล้างบรรจุภัณฑ์ปนเปื้อนสารเคมีและน้ำมัน,,25140,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,7
-,เลขที่ 334,-,106,"164,901,000",178.15,1091,16,3-106-23/51ปจ,1091,บริษัท ซีเอ็มเค คอร์ปอเรชั่น (ประเทศไทย) จำกัด,แยกโลหะทองแดงจากน้ำเสียจากกระบวนการกัดลายวงจร เพื่อนำกลับมาใช้ใหม่,037 207500,25140,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,7
,เลขที่ 119/1,,105,"920,000",0,1092,8,จ3-105-200/51ชน,1092,ห้างหุ้นส่วนจำกัด แก้วทุมมา เวสท์ แอนด์ ซัพพลาย,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,17150,โพนางดำออก,สรรพยา,ชัยนาท,3
-,เลขที่ -,-,105,"13,500,000",326,1093,19,3-105-3/49สบ,1093,บริษัท ปัญญาสตีล (2005) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ เศษเหล็ก,,18000,ดาวเรือง,เมืองสระบุรี,สระบุรี,1
,เลขที่ 125,,106,"90,000,000",190,1094,3,3-106-32/57ปจ,1094,บริษัท แอช ลีชชิ่ง จำกัด,นำขี้เถ้าขาวที่ไม่ต้องการใช้แล้วแปรรูปเป็นโซเดียมซัลเฟต,0 3720 8841,25140,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,2
-,เลขที่ 14,-,105,"5,000,000",396.5,1095,7,3-105-168/48สบ,1095,บริษัท โชคพัฒนาค้าเหล็ก (1994) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) ดัดแปลง ซ่อมแซม ถังบรรจุเคมีภัณฑ์ ถังน้ำมัน และรีไซเคิลน้ำมันหล่อลื่นใช้แล้ว,,18000,ดาวเรือง,เมืองสระบุรี,สระบุรี,5
-,เลขที่ 217,-,106,"90,000,000",190,1096,3,3-106-33/57ปจ,1096,บริษัท แอช ลีชชิ่ง จำกัด,นำขี้เถ้าขาวที่ไม่ต้องการใช้แล้วแปรรูปเป็นโซเดียมซัลเฟต,,25140,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,2
-,เลขที่ 96/1,-,106,"3,000,000",20,1097,5,3-106-34/47ปจ,1097,นายอดิศร มงคล,นำเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ที่ผ่านการใช้งานแล้วมาผ่านกระบวนการทางอุตสาหกรรม โดยการซ่อมแซม ปรับปรุง เปลี่ยนแปลง หรือแปรสภาพ เพื่อนำกลับมาใช้ประโยชน์ใหม่,,25140,ดงกระทงยาม,ศรีมหาโพธิ,ปราจีนบุรี,1
พหลโยธิน,เลขที่ 110/5,,105,"21,800,000",140,1098,7,3-105-26/60สบ,1098,บริษัท เอ็น.ซี.พี.ค้ากระดาษ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,081-5537777,18000,หนองยาว,เมืองสระบุรี,สระบุรี,1
,เลขที่ 50/1,,105,"100,000",0,1099,8,จ3-105-96/50สบ,1099,ห้างหุ้นส่วนจำกัด เมคคานิเทค,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่มีลักษณะและคุณสมบัติตามที่กำหนดไว้ในกฎหระทรวง,,18000,หนองยาว,เมืองสระบุรี,สระบุรี,4
ทางหลวงสาย 304,เลขที่ 305,-,106,"16,250,000",163,1100,7,3-106-36/50ปจ,1100,บริษัท สุวรรณภูมิ เวสต์ รีคัฟเวอรี่ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นใช้แล้ว ตัวทำละลายใช้แล้ว ทำเชื้อเพลิงผสมจากกากตะกอนปนเปื้อนน้ำมันและเศษผ้าปนเปื้อนน้ำมัน บดเศษและตะกรันโลหะ,,25140,หนองโพรง,ศรีมหาโพธิ,ปราจีนบุรี,8
