ประกอบกิจการ,คนงานหญิง,หมู่,ถนน,TSIC,เงินทุนรวม,เลขทะเบียนเดิม,โทรศัพท์,FID,factype,GPS_lng,_id,ลำดับ,แรงม้า,อนุญาต,ชื่อโรงงาน,ตำบล,GPS_lat,ซอย,อำเภอ,เลขที่,คนงานชาย,สิ้นอายุ,จังหวัด,คนงานรวม,ไปรษณีย์
พิมพ์สิ่งพิมพ์ต่าง ๆ เช่น หนังสือ,13000000,1,บางไผ่พัฒนา,106000000000,,จ3-41(1)-17/48นบ,,-20120001725482-,,09/05/1462,662,662,12,2356,บริษัท เนชั่นไฮย์ 1954 จำกัด,บางไผ่,30/03/1462,วัดรวก,เมืองนนทบุรี,เลขที่ 88/2,6000000,1,นนทบุรี,2000000,
พิมพ์สิ่งพิมพ์ต่างๆ เช่น สติ๊กเกอร์ ฉลากสินค้าทุกประเภท,20000000,4,,3430000000000,,จ3-41(1)-18/61นบ,,-20120001825613-,,17/06/1476,663,663,14,1152,เอส.ไอ.เอ็น.อินฟอร์เมชั่น,บางคูรัด,24/07/1475,,บางบัวทอง,เลขที่ 15/16,4200000,1,นนทบุรี,10000000,
การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,2000000,5,,126000000000,,จ3-41(1)-18/67นบ,,-20120204925673-,,,664,664,5,396,บริษัท ฮีโร่ บ๊อกซ์ จำกัด,บางแม่นาง,05/11/1481,,บางใหญ่,เลขที่ โฉนดที่ดินเลขที่ 118629,0,0,นนทบุรี,3000000,
พิมพ์ลายกระดาษ พีวีซี ไอพีซี และพลาสติกเพื่อใช้ในการทำเครื่องใช้เฟอร์นิเจอร์ทุกชนิด,1,4,ไทรน้อย-ลาดบัวหลวง,17092,40500000,จ3-41(1)-19/50นบ,,-20120001925504-,3,,665,665,585,07/08/1464,บริษัท เอสเอ็นซีเซ็นเตอร์ จำกัด,คลองขวาง,100.30493,-,ไทรน้อย,เลขที่ 21/4,12,13.98228,นนทบุรี,13,11150
พิมพ์สิ่งพิมพ์ต่างๆ,20000000,3,บางใหญ่-บางคูลัด (กันตนา),106000000000,,จ3-41(1)-23/49นบ,,-20120002325498-,,09/10/1463,666,666,15,0,บริษัท สยามเอเซียพริ้นท์ จำกัด,บางใหญ่,11/09/1463,,บางใหญ่,เลขที่ 41/23,6000000,1,นนทบุรี,5000000,
พิมพ์สิ่งพิมพ์ต่างๆ ทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,5000000,1,นครอินทร์,106000000000,,จ3-41(1)-23/52นบ,,-20120002325522-,,05/04/1467,667,667,18,0,บริษัท สยามศิลปการพิมพ์ จำกัด,บางคูเวียง,20/11/1466,วัดหูช้าง,บางกรวย,เลขที่ 18,10000000,1,นนทบุรี,5000000,
พิมพ์สิ่งพิมพ์ต่างๆ เช่น หนังสือ และหนังสือพิมพ์,13000000,2,งามวงศ์วาน,126000000000,,จ3-41(1)-25/57นบ,,-20120002525576-,,05/11/1472,668,668,30,713,บริษัท 888 อินเตอร์กรุ๊ป จำกัด,บางเขน,07/11/1471,งามวงศ์วาน 31,เมืองนนทบุรี,เลขที่ 282/4,0,1,นนทบุรี,2000000,
พิมพ์สิ่งพิมพ์ต่างๆ,10000000,7,,106000000000,,จ3-41(1)-29/59นบ,,-20120002925594-,,09/03/1475,669,669,15,3499,บริษัท ไทภูมิ พับลิชชิ่ง จำกัด,คลองข่อย,26/12/1473,ร่วมใจ,ปากเกร็ด,เลขที่ ,15000000,1,นนทบุรี,5000000,
พิมพ์สิ่งพิมพ์ต่าง ๆ เช่น หนังสือ สื่อโฆษณา เป็นต้น,25000000,7,กาญจนาภิเษก,106000000000,,จ3-41(1)-3/53นบ,,-20120200325530-,,20/02/1472,670,670,16,3730,บริษัท เฟิสท์ ออฟเซท (1993) จำกัด,ลำโพ,25/02/1467,-,บางบัวทอง,เลขที่ 99/11,10000000,1,นนทบุรี,5000000,
การพิมพ์ ทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือ ตกแต่งสิ่งพิมพ์,12000000,6,,126000000000,,จ3-41(1)-3/58นบ,,-20120200325589-,,16/04/1472,671,671,16,6064,บริษัท เต็มรักการพิมพ์ จำกัด,บางคูรัด,19/02/1472,,บางบัวทอง,เลขที่ 44,6000000,1,นนทบุรี,5000000,
พิมพ์สิ่งพิมพ์ต่างๆ เช่น สติิ๊กเกอร์ ฉลากสินค้าทุกประเภท,5500000,2,,3430000000000,,จ3-41(1)-3/65นบ,,-20120017025653-,,17/11/1480,672,672,6,2400,เอส.ไอ.เอ็น.อินฟอร์เมชั่น สาขา 2,ทวีวัฒนา,31/01/1479,,ไทรน้อย,เลขที่ 63,4000000,1,นนทบุรี,2000000,
พิมพ์สิ่งพิมพ์ต่างๆ และอื่นๆ ตามหนังสือบริคณฑ์สนธิ,52,8,ตลิ่งชัน-สุพรรณบุรี,17092,434141730,จ3-41(1)-4/44นบ,02-434-0111,-20120100425448-,3,,673,673,6725,07/07/1458,บริษัท ส.ศิลป(2521) จำกัด,ละหาร,100.3843,,บางบัวทอง,เลขที่ 95,159,13.97195,นนทบุรี,211,11110
พิมพ์สิ่งพิมพ์ต่างๆ เย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์ เช่น เคลือบปกหนังสือ,7100000,5,กาญจนาภิเษก,106000000000,,จ3-41(1)-4/52นบ,,-20120100425521-,,11/10/1467,674,674,7,600,บริษัท ทริปเปิ้ล โค้ตติ้ง จำกัด,ลำโพ,23/04/1466,วัดศรีเขตนันทาราม,บางบัวทอง,เลขที่ 55/65,1300000,1,นนทบุรี,500000,
พิมพ์ตำราเรียน และเอกสารต่างๆ,13000000,1,ติวานนท์,106000000000,,จ3-41(1)-4/57นบ,,-20120000425571-,,29/04/1471,675,675,19,1800,บริษัท สำนักพิมพ์ เอมพันธ์ จำกัด,บ้านใหม่,31/03/1471,พระแม่การุณย์,ปากเกร็ด,เลขที่ 69/217,6000000,1,นนทบุรี,8000000,
พิมพ์ และผลิตบรรจุภัณ์กระดาษและสิ่งพิมพ์ต่างๆ,8,1,ติวานนท์,17092,60000000,จ3-41(1)-43/47นบ,,-20120004325470-,3,,676,676,372,01/11/1461,บริษัท อักษรโสภิตการพิมพ์ จำกัด,บ้านใหม่,100.5589333,พระแม่การุณย์,ปากเกร็ด,เลขที่ 69/228,32,13.94698333,นนทบุรี,40,11120
ทำสิ่งพิมพ์ต่างๆ และเคลือบมันกระดาษ,58,1,ติวานนท์,17092,81400000,จ3-41(1)-5/44นบ,,-20120100525445-,3,,677,677,560.94,24/08/1458,บริษัท พี เอ็ม ซี การ์ดส์ (ไทยแลนด์) จำกัด,บ้านใหม่,100.5585167,พระแม่มหาการุณย์,ปากเกร็ด,เลขที่ 19/9,102,13.9465,นนทบุรี,160,11120
พิมพ์สิ่งพิมพ์ต่างๆ ทำแฟ้มเอกสาร เย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,10000000,10,ตลิ่งชัน-สุพรรณบุรี,126000000000,,จ3-41(1)-5/55นบ,,-20120100525551-,,11/06/1469,678,678,13,776,บริษัท สหมิตรพริ้นติ้งแอนด์พับลิสซิ่ง จำกัด,บางม่วง,21/05/1469,วัดพระเงิน,บางใหญ่,เลขที่ 59/4,50000000,1,นนทบุรี,1000000,
ผลิตสิ่งพิมพ์บนแผ่นพลาสติก,15000000,7,,106000000000,,จ3-41(1)-5/61นบ,,-20120000525610-,,25/05/1475,679,679,14,4000,บริษัท วาไรตี้ แพ็ค จำกัด,ลำโพ,25/01/1475,,บางบัวทอง,เลขที่ 78/9,15000000,1,นนทบุรี,10000000,
ตัดหรือตกแต่งกระดาษและสิ่งพิมพ์ต่างๆ,30000000,1,บางกรวย-ไทรน้อย,126000000000,,จ3-41(1)-6/44นบ,,-20120100625443-,,11/08/1460,680,680,40,8000,บริษัท โทคุ จำกัด,ไทรน้อย,17/10/1458,,ไทรน้อย,เลขที่ 63/9,9000000,1,นนทบุรี,20000000,
พิมพ์สิ่งพิมพ์ต่าง ๆ เช่น หนังสือ,15000000,10,กาญจนาภิเษก,106000000000,,จ3-41(1)-6/54นบ,,-20120000625543-,,05/10/1469,681,681,13,1600,บริษัท เพอร์เฟค เพรส จำกัด,คลองข่อย,27/04/1468,,ปากเกร็ด,เลขที่ 12/20,8000000,1,นนทบุรี,2000000,
พิมพ์สิ่งพิมพ์ต่าง ๆ ทำแฟ้มเอกสาร เย็บเล่ม ทำปก หรือตบแต่งสิ่งพิมพ์,0,8,,106000000000,,จ3-41(1)-6/55นบ,,-20120100625559-,,01/06/1472,682,682,0,0,บริษัท ปัญญฉัตร์ บุ๊คส์ บายดิ้ง จำกัด,เสาธงหิน,21/05/1469,,บางใหญ่,เลขที่ 36,0,1,นนทบุรี,0,
พิมพ์สิ่งพิมพ์ต่างๆ และทำแผ่นป้ายโฆษณา,58,2,งามวงศ์วาน,17092,216000000,จ3-41(1)-7/53นบ,02-832-5800,-20120100725532-,3,,683,683,230.15,25/03/1467,บริษัท คิว แอดเวอร์ไทซิ่ง จำกัด,บางเขน,100.5313,งามวงศ์วาน 4,เมืองนนทบุรี,เลขที่ 45/78,109,13.85603,นนทบุรี,167,11000
ผลิตเคมีภัณฑ์สำหรับอุตสาหกรรมน้ำยาง,10000000,5,บางกรวย-ไทรน้อย,106000000000,,จ3-42(1)-1/46นบ,,-20121400125464-,,30/05/1460,684,684,9,774,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,บางบัวทอง,29/04/1460,-,บางบัวทอง,เลขที่ 75/7,1000000,3,นนทบุรี,3000000,
ผลิตและแบ่งบรรจุสารเคมีบำบัดน้ำ และเคมีอุตสาหกรรม เช่น สารพอลิอะลูมิเนียมคลอไรด์ อะลูมิเนียมซัลเฟต อะลูมิเนียมคลอโรไฮเดรต โซเดียมไบซัลไฟต์ เป็นต้น,1000000,10,,126000000000,,จ3-42(1)-14/67นบ,,-20120201625672-,,20/07/1482,685,685,11,6400,บริษัท ไทยคลอไรด์ แมนูแฟคเจอร์ริ่ง จำกัด,ไทรใหญ่,31/10/1481,,ไทรน้อย,เลขที่ 92/10,6000000,1,นนทบุรี,5000000,
ผลิตเคมีภัณฑ์ที่ใช้สำหรับอุตสาหกรรมยางและพลาสติก,2500000,5,บางกรวย-ไทรน้อย,106000000000,,จ3-42(1)-2/47นบ,,-20120300225473-,,19/08/1472,686,686,8,,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,บางบัวทอง,29/06/1461,,บางบัวทอง,เลขที่ 75/6,1200000,3,นนทบุรี,2000000,
ผลิต-จำหน่ายเคมีภัณฑ์ เช่น สารลดฟอง,1000000,15,กาญจนาภิเษก,106000000000,,จ3-42(1)-4/47นบ,,-20120100425471-,,02/10/1463,687,687,3,7450,บริษัท ซินเธค แอ๊ดดิทีฟ จำกัด,บางม่วง,18/05/1461,วัดพระเงิน,บางใหญ่,เลขที่ 50/11,5000000,1,นนทบุรี,5000000,
เกลือเงิน เกลือทอง โกล์ดคอมเพล็ค พาลาเดียมคอมเพล็ค,2000000,9,บางบัวทอง-สุพรรณบุรี,106000000000,,จ3-42(1)-4/49นบ,,-20120000425498-,,09/05/1463,688,688,5,941,บริษัท เค.ซี.ยู.คอร์ปอเรชั่น จำกัด,ละหาร,05/04/1463,-,บางบัวทอง,เลขที่ 333/10,4500000,1,นนทบุรี,2000000,
ผลิตสารป้องกันหรือกำจัดศัตรูพืช,2,5,จันทร์ทองเอี่ยม,20121,4000000,จ3-43(1)-1/44นบ,589-8989,-20120800125447-,3,,689,689,246.5,28/03/1458,บริษัท นนท์ทรีเซีย จำกัด,บางรักพัฒนา,100.4189833,,บางบัวทอง,เลขที่ 73/4,4,13.88813333,นนทบุรี,6,11110
ผลิตปุ๋ยอินทรีย์ ปุ๋ยชีวภาพ และปุ๋ยเคมีอินทรีย์,10000000,1,ไทรน้อย-ลาดบัวหลวง,126000000000,,จ3-43(1)-1/45นบ,,-20120400125458-,ปุ๋ยอินทรีย์และเคมี,19/03/1460,690,690,50,30400,บริษัท พสิษฐ์ ปุ๋ยไทยอินเตอร์ จำกัด,ราษฎร์นิยม,25/11/1459,-,ไทรน้อย,เลขที่ 57,6000000,1,นนทบุรี,10000000,
ผลิตปุ๋ยอินทรีย์ ปุ๋ยเคมี ปุ๋ยชีวภาพ,1500000,6,ไทรน้อย-ลาดบัวหลวง,126000000000,,จ3-43(1)-1/46นบ,,-20121500125463-,ปุ๋ยอินทรีย์และเคมี,19/07/1461,691,691,15,8088,บริษัท ปุ๋ยต้นโพธิ์ จำกัด,ราษฎร์นิยม,09/12/1460,-,ไทรน้อย,เลขที่ 4,2500000,1,นนทบุรี,3000000,
ผลิต และแบ่งบรรจุปุ๋ยเคมี ผลิตโดยการแบ่งบรรจุสารป้องกัน กำจัดศัตรูพืชหรือสัตว์ ผลิตภัณฑ์เคมีเกษตร,5,1,,20121,4000000,จ3-43(1)-12/65นบ,,-20120135025650-,3,,692,692,85,10/08/1479,-,ไทรใหญ่,,,ไทรน้อย,เลขที่ โฉนดเลขที่ 59782,8,,นนทบุรี,13,11150
ผลิต และแบ่งบรรจุปุ๋ยเคมี ผลิตโดยการแบ่งบรรจุสารป้องกัน กำจัดศัตรูพืชหรือสัตว์ ผลิตภัณฑ์เคมีเกษตร,5,1,,20121,4000000,จ3-43(1)-13/65นบ,,-20120135125658-,3,,693,693,85,10/08/1479,ราชสีห์ เฟอร์ติไลเซอร์,ไทรใหญ่,,,ไทรน้อย,เลขที่ โฉนดเลขที่ 59782,8,,นนทบุรี,13,11150
ผลิตและแบ่งบรรจุสารป้องกันหรือกำจัดวัชพืชและศัตรูพืช,4,9,บางเลน-ปทุมธานี,20121,31000000,จ3-43(1)-14/66นบ,,-20120173025661-,3,,694,694,84.3,12/10/1480,บริษัท บีเอ็มจี อโกรเทค จำกัด,ไทรใหญ่,,วัดสโมสร,ไทรน้อย,เลขที่ 58-59,9,,นนทบุรี,13,11150
การผลิต เก็บรักษาหรือแบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืชหรือสัตว์,8,1,,20121,33000000,จ3-43(1)-14/68นบ,20676688,-20120064625686-,3,100.308437,695,695,194.95,09/04/1482,บริษัท เอส แอนด์ พี ฟอร์มูเลเตอร์ จำกัด,ราษฎร์นิยม,14.051349,,ไทรน้อย,เลขที่ 57/10,12,,นนทบุรี,20,11150
เกี่ยวกับปุ๋ยและสารกำจัดศัตรูพืช,7,1,ติวานนท์,20121,245000000,จ3-43(1)-15/52นบ,0-2582-0582,-20120101525527-,3,,696,696,75.5,28/01/1466,บริษัท ซิตโต้ (ประเทศไทย) จำกัด,บ้านใหม่,100.5527,พระแม่มหาการุณ,ปากเกร็ด,เลขที่ 72/79,13,13.94666,นนทบุรี,20,11120
"ผลิตปุ๋ยอินทรีย์,ปุ๋ยชีวภาพ และปุ๋ยเคมีอินทรีย์",15898546,2,ลาดหลุมแก้ว-บางเลน,126000000000,,จ3-43(1)-2/42นบ,,-20120100225426-,ปุ๋ยอินทรีย์และเคมี,21/03/1457,697,697,38,35200,บริษัท ศักดิ์สยาม อินเตอร์เนชั่นแนล จำกัด,ขุนศรี,01/11/1456,-,ไทรน้อย,เลขที่ 17/2,22000000,1,นนทบุรี,58328645,
ผลิตปุ๋ยอินทรีย์และสารปรับปรุงคุณภาพดิน,500000,9,ติวานนท์,103000000000,,จ3-43(1)-28/55นบ,,-20120002825554-,,11/06/1469,698,698,10,667,ห้างหุ้นส่วนจำกัด โรงเลื่อยจักรไท้เฮงเสง,บางพูด,21/05/1469,,ปากเกร็ด,เลขที่ 11/2,0,1,นนทบุรี,500000,
ผลิตปุ๋ยเคมี ปุ๋ยอินทรีย์ชีวภาพ ปุ๋ยเคมี-อินทรีย์,5000000,4,ปทุมธานี-บางเลน,736000000000,,จ3-43(1)-31/47นบ,,-20120003125475-,ปุ๋ยอินทรีย์และเคมี,04/04/1462,699,699,50,23660,บริษัท ไทย ฟาร์เมอร์ ซัสเซส จำกัด,คลองขวาง,12/07/1461,,ไทรน้อย,เลขที่ 58,8000000,1,นนทบุรี,5000000,
ผลิตปุ๋ยอินทรีย์ สารป้องกันหรือกำจัดศัตรูพืช ยารักษาสัตว์,4,1,,20121,36500000,จ3-43(1)-33/64นบ,,-20120442125649-,3,,700,700,377.03,30/09/1478,บริษัท โมริน่า โซลูชั่นส์ จำกัด,บางตะไนย์,100.4786879,,ปากเกร็ด,เลขที่ 88/45,4,13.95589384,นนทบุรี,8,11120
ผสม และแบ่งบรรจุปุ๋ย อาหารเสริมพืชผสม และแบ่งบรรจุสารป้องกัน หรือกำจัดศัตรูพืช,19,10,,20121,123000000,จ3-43(1)-34/64นบ,29617055,-20120443225646-,3,,701,701,85,30/09/1478,บริษัท เอสทีม อินเตอร์เทรด จำกัด,ไทรใหญ่,100.287335,,ไทรน้อย,เลขที่ 99/1,18,14.059818,นนทบุรี,37,11150
เก็บรักษาผสม แบ่งบรรจุปุ๋ย อาหารเสริมพืช เก็บรักษา และแบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืชพืช,5000000,10,ทางหลวงชนบทสาย นบ 3011,106000000000,,จ3-43(1)-39/56นบ,,-20120003925569-,,29/08/1471,702,702,15,19616,บริษัท เอสทีม อินเตอร์เทรด จำกัด,ไทรใหญ่,11/06/1470,,ไทรน้อย,เลขที่ 99,13000000,1,นนทบุรี,20000000,
ผลิตปุ๋ยน้ำชีวภาพ อาหารเสริมสำหรับสัตว์,3000000,4,,736000000000,,จ3-43(1)-5/63นบ,,-20120030525630-,,,703,703,19,2300,บริษัท ธัญชาติ แอ๊ดวานซ์ อะโกร จำกัด,ขุนศรี,17/02/1477,,ไทรน้อย,เลขที่ 98,55000000,0,นนทบุรี,20000000,
ผลิต ผสม แบ่งบรรจุปุ๋ย และสารป้องกันหรือกำจัดศัตรูพืช,3,3,ทางหลวงสาย 345,20121,12697400,จ3-43(1)-55/52นบ,02-9183488,-20120005525524-,3,,704,704,81.68,21/05/1466,บริษัท เวท อะกริเทค จำกัด,ลำโพ,100.43024,-,บางบัวทอง,เลขที่ 55/27,6,13.95563,นนทบุรี,9,11110
ผลิตปุ๋ยชีวภาพ อาหารเสริมสำหรับพืช,3000000,4,,126000000000,,จ3-43(1)-6/64นบ,,-20120257025645-,,,705,705,70,2300,บริษัท ชัฐธรัฎฐ์ จำกัด,ขุนศรี,02/04/1478,,ไทรน้อย,เลขที่ 96,55000000,0,นนทบุรี,20000000,
ผลิตปุ๋ยชีวภาพ อาหารเสริมสำหรับพืช,30,4,,20121,85000000,จ3-43(1)-7/64นบ,243266114,-20120257225641-,3,100.2899477,706,706,105.33,02/04/1478,บริษัท บูลทรีเม็กซ์ จำกัด,ขุนศรี,14.03173205,,ไทรน้อย,เลขที่ 95,70,,นนทบุรี,100,11150
ผลิตและแบ่งบรรจุปุ๋ย สารป้องกันหรือกำจัดวัชพืชและศัตรูพืช,4,1,,20121,13000000,จ3-43(1)-8/66นบ,,-20120116925662-,3,,707,707,270.25,24/07/1480,บริษัท ที-สตาร์ อะกริคัลเจอร์ จำกัด,ราษฎร์นิยม,,,ไทรน้อย,เลขที่ โฉนดที่ดินเลขที่ 60785,5,,นนทบุรี,9,11150
ผลิตปุ๋ยเคมีน้ำ,4,9,,20121,58000000,จ3-43(1)-9/61นบ,,-20120000925612-,3,,708,708,85.05,04/06/1475,บริษัท กรีนเทค อโกร จำกัด,ไทรใหญ่,100.291432,,ไทรน้อย,เลขที่ 55/5,13,14.04659601,นนทบุรี,17,10230
แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืชหรือสัตว์,1500000,1,ไทรน้อย-ลาดบัวหลวง,106000000000,,จ3-43(2)-1/61นบ,,-20120000125619-,,14/08/1477,709,709,8,805,บริษัท อาดามัส เคม จำกัด,ราษฎร์นิยม,24/07/1475,,ไทรน้อย,เลขที่ -,1000000,1,นนทบุรี,1000000,
แบ่งบรรจุ และผลิตปุ๋ยหรือสารป้องกันศัตรูพืชหรือสัตว์,0,1,,20210,27000000,จ3-43(2)-1/67นบ,948733999,-20120117725673-,3,,710,710,92.5,10/07/1481,บริษัท เอ็กซ์เปอร์ท เพสท์ ซิสเต็ม จำกัด,ไทรใหญ่,,,ไทรน้อย,เลขที่ 11/2,15,,นนทบุรี,15,11150
แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช และผลิตสารป้องกันและกำจัดศัตรูพืช,2000000,1,ไทรน้อย-ลาดบัวหลวง,106000000000,,จ3-43(2)-10/54นบ,,-20120101025544-,,12/06/1470,711,711,11,805,บริษัท เคที อีเทอร์นอล จำกัด,ราษฎร์นิยม,25/04/1468,,ไทรน้อย,เลขที่ 57/3,1000000,1,นนทบุรี,1300000,
แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,1500000,1,ไทรน้อย-ลาดบัวหลวง,106000000000,,จ3-43(2)-11/54นบ,,-20120101125542-,,12/06/1470,712,712,9,805,บริษัท เอส แอนด์ พี โอเมก้า จำกัด,ราษฎร์นิยม,25/04/1468,,ไทรน้อย,เลขที่ 57/1,1000000,1,นนทบุรี,1000000,
แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,1500000,10,ปทุมธานี-บางเลน,104000000000,,จ3-43(2)-17/54นบ,,-20120001725540-,,14/06/1470,713,713,9,9416,ห้างหุ้นส่วนจำกัด สตาร์ โกร การเกษตร,ไทรใหญ่,23/11/1468,วัดสโมสร,ไทรน้อย,เลขที่ 8/9,3000000,1,นนทบุรี,1000000,
เก็บรักษาหรือแบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืชหรือสัตว์,1500000,1,ไทรน้อย-ลาดบัวหลวง,106000000000,,จ3-43(2)-2/61นบ,,-20120100225616-,,14/08/1477,714,714,8,805,บริษัท อัลตร้า แฟค จำกัด,ราษฎร์นิยม,24/07/1475,,ไทรน้อย,เลขที่ -,1000000,1,นนทบุรี,1000000,
แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,0,1,ไทรน้อย-ลาดบัวหลวง,20210,7000000,จ3-43(2)-6/54นบ,,-20120100625542-,3,,715,715,75.48,25/04/1468,บริษัท ซีบรา แฟคทอรี่ จำกัด,ราษฎร์นิยม,100.3093085,,ไทรน้อย,เลขที่ 57/5,9,14.05174099,นนทบุรี,9,11150
แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,1500000,1,ไทรน้อย-ลาดบัวหลวง,106000000000,,จ3-43(2)-7/54นบ,,-20120100725540-,,12/06/1470,716,716,9,805,บริษัท พาเรโต อโกร จำกัด,ราษฎร์นิยม,25/04/1468,,ไทรน้อย,เลขที่ 57/4,1000000,1,นนทบุรี,1000000,
แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,1500000,1,ไทรน้อย-ลาดบัวหลวง,106000000000,,จ3-43(2)-8/54นบ,,-20120000825549-,,12/06/1470,717,717,9,805,บริษัท นน อโกรเทค จำกัด,ราษฎร์นิยม,25/04/1468,,ไทรน้อย,เลขที่ 57/2,1000000,1,นนทบุรี,1000000,
แบ่งบรรจุสารป้องกันหรือกำจัดศัตรูพืช,1500000,1,ไทรน้อย-ลาดบัวหลวง,104000000000,,จ3-43(2)-9/54นบ,,-20120000925547-,,12/06/1470,718,718,9,805,บริษัท เกียรติตง จำกัด,ราษฎร์นิยม,25/04/1468,,ไทรน้อย,เลขที่ 57/6,1000000,1,นนทบุรี,1000000,
ผลิตฟองน้ำ,11000000,3,ร.พ.ช.,106000000000,,จ3-44-1/36นบ,,-20120500125366-,,30/11/1450,719,719,22,51200,บริษัท ซิตี้โฟม จำกัด,ราษฎร์นิยม,25/08/1450,,ไทรน้อย,เลขที่ 18/1-4,20000000,1,นนทบุรี,4000000,
ผลิตและผสมสีน้ำ,5008750,9,บางบัวทอง-สุพรรณบุรี,126000000000,,จ3-45(1)-1/51นบ,,-20120000125510-,,15/02/1465,720,720,48,1485,บริษัท สยาม โค้ทติ้ง อินโนเวชั่น จำกัด,ละหาร,17/01/1465,-,บางบัวทอง,เลขที่ 333/2,110000,1,นนทบุรี,13000000,
ผลิตและผสมสีน้ำ,12549760,9,บางบัวทอง-สุพรรณบุรี,126000000000,,จ3-45(1)-12/50นบ,,-20120001225509-,,22/01/1465,721,721,23,1485,บริษัท สยาม โค้ทติ้ง อินโนเวชั่น จำกัด,ละหาร,01/10/1464,-,บางบัวทอง,เลขที่ 333/40,5000000,1,นนทบุรี,32000000,
ผลิตสีน้ำ และสีน้ำมัน,1000000,8,ตลิ่งชัน-สุพรรณบุรี,126000000000,,จ3-45(1)-15/47นบ,,-20120101525477-,,21/02/1462,722,722,5,642,บริษัท เคมเทคเพ้นท์ อินดัสทรี จำกัด,ละหาร,03/09/1461,สุเหร่าเขียว,บางบัวทอง,เลขที่ 30/6,0,1,นนทบุรี,1000000,
ผลิตสีน้ำมัน,100000,7,บางบัวทอง-สุพรรณบุรี,3100000000000,,จ3-45(1)-2/35นบ,,-20120000225351-,,15/09/1449,723,723,5,6440,,ละหาร,19/07/1450,,บางบัวทอง,เลขที่ 94/4,16000000,1,นนทบุรี,1000000,
ผลิตทินเนอร์ แลคเกอร์ และสี่พ่นอุตสาหกรรมฯ,1000000,1,ไทรน้อย-ลาดบัวหลวง,126000000000,,จ3-45(1)-2/45นบ,,-20120200225458-,,04/01/1464,724,724,27,11200,บริษัท โอเชี่ยน โรต้า จำกัด,ราษฎร์นิยม,23/01/1459,,ไทรน้อย,เลขที่ 52/9,7000000,1,นนทบุรี,1000000,
ผลิตสีเทอร์โมพลาสติก,500000,12,บางกรวย-ไทรน้อย,136000000000,,จ3-45(1)-2/60นบ,,-20120000225609-,,,725,725,7,1600,บริษัท ทีพี ทราฟฟิค เพ้นท์ จำกัด,บางบัวทอง,08/08/1474,,บางบัวทอง,เลขที่ 11/8,4000000,0,นนทบุรี,2000000,
ทำสีฝุ่น,11,3,,20221,26000000,จ3-45(1)-21/48นบ,,-20120102125483-,3,,726,726,74,21/11/1462,บริษัท อัมรินทร์เซรามิคส์คอร์ปอเรชั่น จำกัด,ลำโพ,100.4353833,,บางบัวทอง,เลขที่ 27/1,9,13.96093333,นนทบุรี,20,11110
ผลิตสีเทอร์โมพลาสติก สำหรับทำเครื่องหมายจราจร เช่น สีตีเส้นจราจร,500000,4,บางใหญ่-บางคูลัด,126000000000,,จ3-45(1)-4/49นบ,,-20120100425497-,,01/06/1463,727,727,3,3496,บริษัท เบญจภูมิ ทราฟฟิค จำกัด,บางใหญ่,10/05/1463,เทศบาลบางใหญ่ 9,บางใหญ่,เลขที่ 30/8,5000000,1,นนทบุรี,500000,
ผลิตสี อบสีเคลือบกระเบื้องและสารควบคุมการเกิดฟอง,800000,5,ตลิ่งชัน-สุพรรณบุรี,106000000000,,จ3-45(1)-5/47นบ,,-20120100525478-,,26/04/1461,728,728,3,1088,บริษัท ดีโฟมเมอร์ (ประเทศไทย)จำกัด,ละหาร,25/03/1461,เทพประทานพร,บางบัวทอง,เลขที่ 67,10000,1,นนทบุรี,500000,
ผลิตสีน้ำพลาสติก ปูนผสมพิเศษ,4,11,,20221,20000000,จ3-45(1)-9/57นบ,0 2985 5561,-20120000925570-,3,,729,729,138.5,10/11/1471,บริษัท แซนดี้ อินเตอร์เนชั่นแนล จำกัด,ไทรใหญ่,100.3095858,,ไทรน้อย,เลขที่ 111,20,14.06887363,นนทบุรี,24,11150
